class;term;comment
independent continuant;Amssala, Chad (Guinea fowl);
independent continuant;Gayo, Indonesia (Horse);
independent continuant;Local Guineafowl of Moulkou and Bongor, Chad (Guinea fowl);
independent continuant;Lombok, Indonesia (Horse);
independent continuant;Yanan, China (Pig);
independent continuant;Local Guineafowl of Gualemteng and Mayo Kebbi, Chad (Guinea fowl);
independent continuant;Kuningan, Indonesia (Horse);
independent continuant;Yangxin, China (Pig);
independent continuant;Hwaraa, Niger (Guinea fowl);
independent continuant;Angoulou, Niger (Guinea fowl);
independent continuant;Magyar Hidegvéru, Hungary (Horse);
independent continuant;Svensk Lantras, Sweden (Goat);
independent continuant;Sudanese nubian, Sudan (Goat);
independent continuant;Sudanese Nubian, Sudan (Goat);
independent continuant;Sudanese Desert, Chad (Goat);
independent continuant;Sudanese Desert, Sudan (Goat);
independent continuant;Sudanese Desert, Eritrea (Goat);
independent continuant;Wanzhe Spotted, China (Pig);
independent continuant;Wanzhe Spotted - Wannan Spotted, China (Pig);
independent continuant;Arabian purebreed, Croatia (Horse);
independent continuant;Ujiji, United Republic of Tanzania (Goat);
independent continuant;Burkina-cami, Mali (Guinea fowl);
independent continuant;Croatian Posavina horse, Croatia (Horse);
independent continuant;Wujin - Kele, China (Pig);
independent continuant;Sukuma, United Republic of Tanzania (Goat);
independent continuant;Brown Guineafowl, Mali (Guinea fowl);
independent continuant;Bosnian horse, Croatia (Horse);
independent continuant;Wujin - Liangshan, China (Pig);
independent continuant;Sonjo Red, United Republic of Tanzania (Goat);
independent continuant;Cami-finma, Mali (Guinea fowl);
independent continuant;Krk Island pony, Croatia (Horse);
independent continuant;Wanzhe Spotted-Chunan Spotted, China (Pig);
independent continuant;Cami-dièman, Mali (Guinea fowl);
independent continuant;Croatian trotter, Croatia (Horse);
independent continuant;Wei, China (Pig);
independent continuant;Lily-type Guineafowl, Mali (Guinea fowl);
independent continuant;Appaloosa, Hungary (Horse);
independent continuant;Wuyi Black, China (Pig);
independent continuant;Djiko-cami, Mali (Guinea fowl);
independent continuant;Lippizan, Croatia (Horse);
independent continuant;Wuzhishan, China (Pig);
independent continuant;Lavender, Malawi (Guinea fowl);
independent continuant;Hungarian Sport Horse, Hungary (Horse);
independent continuant;Wujin - Zhaotong, China (Pig);
independent continuant;Ash, Malawi (Guinea fowl);
independent continuant;Bardigiano pony, Hungary (Horse);
independent continuant;Wujin - dahe, China (Pig);
independent continuant;Araber, Croatia (Horse);
independent continuant;Sovetskaya Sherstnaya, Turkmenistan (Goat);
independent continuant;American quarter horse, Croatia (Horse);
independent continuant;Sovetskaya Sherstnaya, Tajikistan (Goat);
independent continuant;Wai Chow, China (Pig);
independent continuant;Soviet Mohair, Kyrgyzstan (Goat);
independent continuant;Soviet Mohair, Kazakhstan (Goat);
independent continuant;Somali, Yemen (Goat);
independent continuant;Somali, Somalia (Goat);
independent continuant;Somali, Kenya (Goat);
independent continuant;Taihu - Mi, China (Pig);
independent continuant;Small East African, Mozambique (Goat);
independent continuant;Colombiano, Honduras (Horse);
independent continuant;Taiwan Small Red, China (Pig);
independent continuant;Small East African, Kenya (Goat);
independent continuant;Caballo de trote, Honduras (Horse);
independent continuant;Taiwan Small-ear, China (Pig);
independent continuant;Criollo de paso, Honduras (Horse);
independent continuant;Taihu - Shawutou, China (Pig);
independent continuant;Criollo Hondureño, Honduras (Horse);
independent continuant;Taiwan, China (Pig);
independent continuant;Pony, Honduras (Horse);
independent continuant;Tibetan - Hezuo, China (Pig);
independent continuant;OISK, Honduras (Horse);
independent continuant;Tingshuanghsi, China (Pig);
independent continuant;Warmbloed, Honduras (Horse);
independent continuant;Taoyuan, China (Pig);
independent continuant;Trote de andar, Honduras (Horse);
independent continuant;Tibetan, China (Pig);
independent continuant;Pare White, United Republic of Tanzania (Goat);
independent continuant;Pony, Guatemala (Horse);
independent continuant;Newala, United Republic of Tanzania (Goat);
independent continuant;Peruano de paso, Guatemala (Horse);
independent continuant;Luguru, United Republic of Tanzania (Goat);
independent continuant;Taihu - Hengjing, China (Pig);
independent continuant;Gogo, United Republic of Tanzania (Goat);
independent continuant;Atheland, Honduras (Horse);
independent continuant;Taihu - Jiaxing Black, China (Pig);
independent continuant;Mashona, Zimbabwe (Goat);
independent continuant;Small East African, Uganda (Goat);
independent continuant;Small East African (Non Descript), United Republic of Tanzania (Goat);
independent continuant;Small East African, Malawi (Goat);
independent continuant;Toggenburg, Latvia (Goat);
independent continuant;Persano, Italy (Horse);
independent continuant;Paint, Brazil (Horse);
independent continuant;Puro Sangue Orientale, Italy (Horse);
independent continuant;American Miniature Horse, Germany (Horse);
independent continuant;Pony di Esperia, Italy (Horse);
independent continuant;Pinto cubano, Cuba (Horse);
independent continuant;Sanfratellano, Italy (Horse);
independent continuant;Paint, Canada (Horse);
independent continuant;Salernitano, Italy (Horse);
independent continuant;Pinto, Guatemala (Horse);
independent continuant;Sella Italiano, Italy (Horse);
independent continuant;Paint Horse, France (Horse);
independent continuant;Sarcidano, Italy (Horse);
independent continuant;Toggenburg, Philippines (Goat);
independent continuant;American Paint, Luxembourg (Horse);
independent continuant;Trottatore Italiano, Italy (Horse);
independent continuant;Toggenburg, Peru (Goat);
independent continuant;Pinto, Honduras (Horse);
independent continuant;Tolfetano, Italy (Horse);
independent continuant;Toggenburg, Panama (Goat);
independent continuant;Paint Horse, Paraguay (Horse);
independent continuant;Toggenburger, Netherlands (Goat);
independent continuant;Painted Horse, Netherlands (Horse);
independent continuant;cavallo Appenninico, Italy (Horse);
independent continuant;Toggenburg, Nicaragua (Goat);
independent continuant;Toggenburg, Malaysia (Goat);
independent continuant;Toggenburg, Mozambique (Goat);
independent continuant;Toggenburg, Mexico (Goat);
independent continuant;Toggenburg, Paraguay (Goat);
independent continuant;Achal-Tekkiner, Germany (Horse);
independent continuant;Cavallo Bardigiano, Italy (Horse);
independent continuant;Cavallo Agricolo Italiano da Tiro Pesante Rapido, Italy (Horse);
independent continuant;Akhal Teke, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Cavallo Pentro, Italy (Horse);
independent continuant;Akhal-Teke, France (Horse);
independent continuant;Cavallo Maremmano, Italy (Horse);
independent continuant;Akhal teke, Hungary (Horse);
independent continuant;Cavallo del Catria, Italy (Horse);
independent continuant;Akhal-Teke, Croatia (Horse);
independent continuant;Cavallo Romano della Maremma Laziale, Italy (Horse);
independent continuant;Toggenburg, Kenya (Goat);
independent continuant;Akhal-Tekinskaya, Turkmenistan (Horse);
independent continuant;Cavallo del Ventasso, Italy (Horse);
independent continuant;Toggenburg, Jamaica (Goat);
independent continuant;Akhal-Teke, Kazakhstan (Horse);
independent continuant;Cavallo del Delta, Italy (Horse);
independent continuant;Toggenburg, Ireland (Goat);
independent continuant;Akhal-Teke, United States of America (Horse);
independent continuant;Napoletano, Italy (Horse);
independent continuant;Toggenburg, Honduras (Goat);
independent continuant;Akhal-Teke, Uruguay (Horse);
independent continuant;Murgese, Italy (Horse);
independent continuant;Toggenburg, Guatemala (Goat);
independent continuant;Toggenburg, Greece (Goat);
independent continuant;Altaiskaya, Russian Federation (Horse);
independent continuant;British Toggenburg, United Kingdom of Great Britain and Northern Ireland (Goat);
independent continuant;Toggenburg, Ethiopia (Goat);
independent continuant;Togenburg, Lithuania (Goat);
independent continuant;Toggenburgs, Lesotho (Goat);
independent continuant;Kahilan, Iran (Islamic Republic of) (Horse);
independent continuant;Cobaye, Rwanda (Guinea pig);
independent continuant;Shirazi, Iran (Islamic Republic of) (Horse);
independent continuant;Merino, Peru (Guinea pig);
independent continuant;Qashqai, Iran (Islamic Republic of) (Horse);
independent continuant;slovenski hladnokrvni konj, Slovenia (Horse);
independent continuant;Taleshi, Iran (Islamic Republic of) (Horse);
independent continuant;Guinea pig, United Republic of Tanzania (Guinea pig);
independent continuant;Sistani, Iran (Islamic Republic of) (Horse);
independent continuant;Toggenburg, Cuba (Goat);
independent continuant;Adaev, Kazakhstan (Horse);
independent continuant;Turkemin, Iran (Islamic Republic of) (Horse);
independent continuant;Toggenburg, Costa Rica (Goat);
independent continuant;Žemaitukai, Lithuania (Horse);
independent continuant;Taropud, Iran (Islamic Republic of) (Horse);
independent continuant;Toggenburg, Colombia (Goat);
independent continuant;Adaevskaya, Uzbekistan (Horse);
independent continuant;Cavallino della Giara, Italy (Horse);
independent continuant;Toggenburg, Cameroon (Goat);
independent continuant;Adaevskaya, Turkmenistan (Horse);
independent continuant;Arab, Iraq (Horse);
independent continuant;Toggenburg, Chile (Goat);
independent continuant;Achal-Teke, Czechia (Horse);
independent continuant;Toggenburger, Switzerland (Goat);
independent continuant;Achal-Teke, China (Horse);
independent continuant;Cavallino di Monterufoli, Italy (Horse);
independent continuant;Toggenburg, Canada (Goat);
independent continuant;Toggenbourg, Dominican Republic (Goat);
independent continuant;Toggenburg, Dominica (Goat);
independent continuant;Toggenburger, Germany (Goat);
independent continuant;Bandundu, Democratic Republic of the Congo (Pig);
independent continuant;Cuy de la puna, Chile (Guinea pig);
independent continuant;Spiti Pony, India (Horse);
independent continuant;Local pig, Cook Islands (Pig);
independent continuant;Marwari, India (Horse);
independent continuant;Congo, Colombia (Pig);
independent continuant;Cobaye, Cameroon (Guinea pig);
independent continuant;Irish Miniature, Ireland (Horse);
independent continuant;Kasaï, Democratic Republic of the Congo (Pig);
independent continuant;Cuy serrano, Chile (Guinea pig);
independent continuant;Zaniskari Pony, India (Horse);
independent continuant;porc africain, Congo (Pig);
independent continuant;Toggenburg, Belgium (Goat);
independent continuant;Cuy, Ecuador (Guinea pig);
independent continuant;Basseri, Iran (Islamic Republic of) (Horse);
independent continuant;cerdo criollo colombiano, Colombia (Pig);
independent continuant;Toggenburger Ziege, Austria (Goat);
independent continuant;Cobaye, Democratic Republic of the Congo (Guinea pig);
independent continuant;Bakhtiari, Iran (Islamic Republic of) (Horse);
independent continuant;Cerdo criollo, Costa Rica (Pig);
independent continuant;Toggenburg, Australia (Goat);
independent continuant;Criollo, Peru (Guinea pig);
independent continuant;Ebian, Iran (Islamic Republic of) (Horse);
independent continuant;Sanpedreño, Colombia (Pig);
independent continuant;Toggenburg, Antigua and Barbuda (Goat);
independent continuant;Guinea pig, Saint Kitts and Nevis (Guinea pig);
independent continuant;Dareshuri, Iran (Islamic Republic of) (Horse);
independent continuant;Zungo, Colombia (Pig);
independent continuant;Tokenburg, Armenia (Goat);
independent continuant;Inti, Peru (Guinea pig);
independent continuant;Jaf, Iran (Islamic Republic of) (Horse);
independent continuant;Toggenburg, Argentina (Goat);
independent continuant;Cuy Raza Peru, Peru (Guinea pig);
independent continuant;Haddian, Iran (Islamic Republic of) (Horse);
independent continuant;Criollo Salvaje, Costa Rica (Pig);
independent continuant;Mantaro, Peru (Guinea pig);
independent continuant;Toggenburg, Botswana (Goat);
independent continuant;Toggenburg, Barbados (Goat);
independent continuant;Toggenburg, Brazil (Goat);
independent continuant;Toggenburg, Bulgaria (Goat);
independent continuant;Large Black-White, China (Pig);
independent continuant;Lee-Sung, China (Pig);
independent continuant;Lantang, China (Pig);
independent continuant;Lanxi Spotted, China (Pig);
independent continuant;Chadian, Ghana (Horse);
independent continuant;Sutai, China (Pig);
independent continuant;Taichung, China (Pig);
independent continuant;Andravida, Greece (Horse);
independent continuant;Shennong, China (Pig);
independent continuant;West African Pony, Ghana (Horse);
independent continuant;Shenxian, China (Pig);
independent continuant;Pindos, Greece (Horse);
independent continuant;Taihu - Erhualian - Lishiqiao, China (Pig);
independent continuant;Crete, Greece (Horse);
independent continuant;Taihu - Fengjing, China (Pig);
independent continuant;Criollo, Guatemala (Horse);
independent continuant;Taihu, China (Pig);
independent continuant;Thessalia, Greece (Horse);
independent continuant;Taihu - Erhualian, China (Pig);
independent continuant;Javakhuri Harness Horse, Georgia (Horse);
independent continuant;Shengxian Spotted, China (Pig);
independent continuant;Yorkshire Coach Horse, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Tushuri Horse, Georgia (Horse);
independent continuant;Sanjiang White, China (Pig);
independent continuant;Megruli Horse, Georgia (Horse);
independent continuant;Shanxi Black, China (Pig);
independent continuant;Putian, China (Pig);
independent continuant;Qiandong Spotted, China (Pig);
independent continuant;Welsh Cob, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Welsh, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Pudong White, China (Pig);
independent continuant;Welsh Mountain Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Rongchang, China (Pig);
independent continuant;Welsh Mountain (Semi-Feral), United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Saba, China (Pig);
independent continuant;Welsh Pony of Cob Type, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Qianshao Spotted, China (Pig);
independent continuant;Welsh Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Qingping, China (Pig);
independent continuant;Panlang, China (Pig);
independent continuant;Pingtan Black, China (Pig);
independent continuant;Ningxiang, China (Pig);
independent continuant;North-East China Spotted, China (Pig);
independent continuant;Min-Damin, China (Pig);
independent continuant;Minbei Spotted, China (Pig);
independent continuant;Nanyang Black, China (Pig);
independent continuant;Neijiang, China (Pig);
independent continuant;Mingguang Small-ear, China (Pig);
independent continuant;Nanchang White, China (Pig);
independent continuant;Luchuan, China (Pig);
independent continuant;Mi-nung, China (Pig);
independent continuant;Longlin, China (Pig);
independent continuant;Longyou Black, China (Pig);
independent continuant;Min, China (Pig);
independent continuant;Liang Guang Small Spotted - Guangdong Small Ear - Huangtang, China (Pig);
independent continuant;Licha Black, China (Pig);
independent continuant;Lijiang, China (Pig);
independent continuant;Liang Guang Small Spotted - Guangdong Small Ear - Tangzhui, China (Pig);
independent continuant;Liang Guang Small Spotted - Guangdong Small Ear - Zhongdong, China (Pig);
independent continuant;Liang Guang Small Spotted - Fumian, China (Pig);
independent continuant;Liang Guang Small Spotted - Gongguan, China (Pig);
independent continuant;Leping, China (Pig);
independent continuant;Liang Guang Small Spotted, China (Pig);
independent continuant;Liang Guang Small Spotted - Guangdong Small Ear, China (Pig);
independent continuant;Liang Guang Small Spotted - Guangdong Small Ear - Guixu, China (Pig);
independent continuant;Andalusian, Australia (Horse);
independent continuant;American Trotter, United States of America (Horse);
independent continuant;Española, Spain (Horse);
independent continuant;Andalusier, Germany (Horse);
independent continuant;Andaluz, Peru (Horse);
independent continuant;Andalucian, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Anglo-Árabe, Spain (Horse);
independent continuant;Andalusian, South Africa (Horse);
independent continuant;Angloarabialainen täysiverihevonen, Finland (Horse);
independent continuant;Trotter, Serbia (Horse);
independent continuant;Tuareg, Burkina Faso (Goat);
independent continuant;American Saddle Horse, Russian Federation (Horse);
independent continuant;Tswana, Zimbabwe (Goat);
independent continuant;Americano de silla, Honduras (Horse);
independent continuant;Tswana, Botswana (Goat);
independent continuant;American Saddle Horse, South Africa (Horse);
independent continuant;American Saddle Horse, United States of America (Horse);
independent continuant;Standardbred, Australia (Horse);
independent continuant;Saddler, South Africa (Horse);
independent continuant;Standardbred, Canada (Horse);
independent continuant;Trotter, Brazil (Horse);
independent continuant;American Trotter, Latvia (Horse);
independent continuant;Walliser Schwarzhalsziege, Austria (Goat);
independent continuant;American Trotter, Lithuania (Horse);
independent continuant;Tuareg, Togo (Goat);
independent continuant;Tuareg, Chad (Goat);
independent continuant;Tuareg, Mauritania (Goat);
independent continuant;Tuareg, Mali (Goat);
independent continuant;TARGI, Libya (Goat);
independent continuant;Tuareg, Algeria (Goat);
independent continuant;Toggenburg, El Salvador (Goat);
independent continuant;Pinto, Suriname (Horse);
independent continuant;Toggenbourg, Rwanda (Goat);
independent continuant;Paint, Uruguay (Horse);
independent continuant;Painthorse, Sweden (Horse);
independent continuant;American Saddlebred, Australia (Horse);
independent continuant;Paint, South Africa (Horse);
independent continuant;American Saddlebred Horse, Germany (Horse);
independent continuant;American Saddlebred, Canada (Horse);
independent continuant;Toggenberger, South Africa (Goat);
independent continuant;American Saddle, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Toggenburg, Venezuela (Bolivarian Republic of) (Goat);
independent continuant;Saddlebred, Germany (Horse);
independent continuant;Toggenburg, United States of America (Goat);
independent continuant;Toggenburg, Uruguay (Goat);
independent continuant;Americano de Silla, Guatemala (Horse);
independent continuant;Toggenburg, Uganda (Goat);
independent continuant;Toggenburg, United Republic of Tanzania (Goat);
independent continuant;Toggenburg, Trinidad and Tobago (Goat);
independent continuant;Toggenburg, Sao Tome and Principe (Goat);
independent continuant;Ganzhou White, China (Pig);
independent continuant;Gaoli Gongshan, China (Pig);
independent continuant;Obroshin, Republic of Moldova (Goose (domestic));
independent continuant;Augeron, France (Horse);
independent continuant;Workhorse, Finland (Horse);
independent continuant;Ganzhongnan Spotted-Chayuan, China (Pig);
independent continuant;Saanen, Denmark (Goat);
independent continuant;Oie de Lande, Madagascar (Goose (domestic));
independent continuant;Bourbonnais, France (Horse);
independent continuant;Guanling, China (Pig);
independent continuant;Saanen, Dominica (Goat);
independent continuant;Oie de Guinée, Madagascar (Goose (domestic));
independent continuant;Berrichon, France (Horse);
independent continuant;Guizhong Spotted, China (Pig);
independent continuant;Saanenziege, Germany (Goat);
independent continuant;France White Rhine (broiler), Malaysia (Goose (domestic));
independent continuant;Cheval Corse, France (Horse);
independent continuant;Guangming, China (Pig);
independent continuant;Sanska, Czechia (Goat);
independent continuant;Mongolian Local Goose, Mongolia (Goose (domestic));
independent continuant;Castillonnais, France (Horse);
independent continuant;Guangzhuang Spotted, China (Pig);
independent continuant;Twentse landgans, Netherlands (Goose (domestic));
independent continuant;Cheval de sport Anglo-normand, France (Horse);
independent continuant;Hainan - Tunchang, China (Pig);
independent continuant;Itik Kampong, Malaysia (Goose (domestic));
independent continuant;Cheval de race Auvergne, France (Horse);
independent continuant;Smaalensgas, Norway (Goose (domestic));
independent continuant;Crème, France (Horse);
independent continuant;Hainan, China (Pig);
independent continuant;Norsk hvit gas, Norway (Goose (domestic));
independent continuant;Cheval du Vercors de Barraquand, France (Horse);
independent continuant;Hainan - Lingao, China (Pig);
independent continuant;Small horse, Finland (Horse);
independent continuant;Saanen, Guatemala (Goat);
independent continuant;Saanen, Greece (Goat);
independent continuant;Saanen, United Kingdom of Great Britain and Northern Ireland (Goat);
independent continuant;Saanen, France (Goat);
independent continuant;Saanen, Ecuador (Goat);
independent continuant;Saanen, Dominican Republic (Goat);
independent continuant;Dapulian, China (Pig);
independent continuant;Daweizi, China (Pig);
independent continuant;Borana, Ethiopia (Horse);
independent continuant;Saanen, Canada (Goat);
independent continuant;Kafa, Ethiopia (Horse);
independent continuant;Ding Yuan, China (Pig);
independent continuant;Saanen, Botswana (Goat);
independent continuant;Horro, Ethiopia (Horse);
independent continuant;Dongchuan, China (Pig);
independent continuant;Saanen, Barbados (Goat);
independent continuant;Selale, Ethiopia (Horse);
independent continuant;Debao, China (Pig);
independent continuant;Kundido feral, Ethiopia (Horse);
independent continuant;Diannan Small-Ear, China (Pig);
independent continuant;Finnish Riding Pony, Finland (Horse);
independent continuant;Ganzhongna Spotted - Guanchao, China (Pig);
independent continuant;Wilwal, Ethiopia (Horse);
independent continuant;Ganzhongnan Spotted, China (Pig);
independent continuant;Riding Horse, Finland (Horse);
independent continuant;Fa Yuen, China (Pig);
independent continuant;Lämminverinen Ravihevonen, Finland (Horse);
independent continuant;Fuzhou Black, China (Pig);
independent continuant;Bale, Ethiopia (Horse);
independent continuant;Saanen, Cuba (Goat);
independent continuant;Abyssinian, Ethiopia (Horse);
independent continuant;Saanen, Costa Rica (Goat);
independent continuant;Dahe, China (Pig);
independent continuant;Saanen, Colombia (Goat);
independent continuant;Saanen, Cameroon (Goat);
independent continuant;Saanen Dairy, China (Goat);
independent continuant;Saanen, Chile (Goat);
independent continuant;Saanen, Switzerland (Goat);
independent continuant;Baixi, China (Pig);
independent continuant;Hispano-Bretón, Spain (Horse);
independent continuant;Baoshan, China (Pig);
independent continuant;Cavall Pirinenc Català, Spain (Horse);
independent continuant;Beigang, China (Pig);
independent continuant;Jaca Navarra, Spain (Horse);
independent continuant;Bama Xiang Zhu, China (Pig);
independent continuant;Hispano-Árabe, Spain (Horse);
independent continuant;Bamei, China (Pig);
independent continuant;Marismeña, Spain (Horse);
independent continuant;Chalu Black, China (Pig);
independent continuant;Losina, Spain (Horse);
independent continuant;Chenghua, China (Pig);
independent continuant;Trotador Español, Spain (Horse);
independent continuant;Beijing Black, China (Pig);
independent continuant;Monchina, Spain (Horse);
independent continuant;Bihu, China (Pig);
independent continuant;Cavall Mallorquí, Spain (Horse);
independent continuant;Cabalo de Pura Raza Galega, Spain (Horse);
independent continuant;Schweizer Piétrain, Switzerland (Pig);
independent continuant;Cavall Menorquí, Spain (Horse);
independent continuant;Anqing Six White, China (Pig);
independent continuant;Media sangre, Dominican Republic (Horse);
independent continuant;Jituphab, Bhutan (Pig);
independent continuant;Tswana, Botswana (Pig);
independent continuant;Asturcón, Spain (Horse);
independent continuant;Cambora, Barbados (Pig);
independent continuant;Baladi Egyptian, Egypt (Horse);
independent continuant;Doemphab, Bhutan (Pig);
independent continuant;Caballo de Deporte Español, Spain (Horse);
independent continuant;Schweizer Duroc, Switzerland (Pig);
independent continuant;Burguete, Spain (Horse);
independent continuant;Schweizer Edelschwein Vaterlinie, Switzerland (Pig);
independent continuant;Caballo de las Retuertas, Spain (Horse);
independent continuant;Warthogs, Botswana (Pig);
independent continuant;Caballo de Monte de País Vasco, Spain (Horse);
independent continuant;porc local africain, Central African Republic (Pig);
independent continuant;Tatú, Brazil (Pig);
independent continuant;Pirapitinga, Brazil (Pig);
independent continuant;Sorocaba, Brazil (Pig);
independent continuant;Local Goose of Karal and Massakory, Chad (Goose (domestic));
independent continuant;Goonhilly, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Gocan, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Turkish Goose, Turkey (Goose (domestic));
independent continuant;Hackney Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Local Goose of Mandelia, Chad (Goose (domestic));
independent continuant;Great Horse, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;White footed Goose, United Republic of Tanzania (Goose (domestic));
independent continuant;Hispano-Arabe, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Greyleg goose, United Republic of Tanzania (Goose (domestic));
independent continuant;Hebridean Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Saanen, Rwanda (Goat);
independent continuant;Kubanian Grey, Ukraine (Goose (domestic));
independent continuant;Knabstrupper Horse, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Zaanenskaya, Russian Federation (Goat);
independent continuant;Gorkivsky, Ukraine (Goose (domestic));
independent continuant;Kerry Bog Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Saanen, Paraguay (Goat);
independent continuant;Leghart, Ukraine (Goose (domestic));
independent continuant;Long Mynd, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Saanen, Poland (Goat);
independent continuant;Large White, Ukraine (Goose (domestic));
independent continuant;Konik Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Saanen, Philippines (Goat);
independent continuant;Saanen, Peru (Goat);
independent continuant;Lindovska, Ukraine (Goose (domestic));
independent continuant;Saanen, Panama (Goat);
independent continuant;Saanen, Nepal (Goat);
independent continuant;Sanaans, Solomon Islands (Goat);
independent continuant;Saneen, Sudan (Goat);
independent continuant;Huchuan Mountain, China (Pig);
independent continuant;Huchuan Mountain - Ebei Black, China (Pig);
independent continuant;British Skewbald, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Lindovskaya, Russian Federation (Goose (domestic));
independent continuant;Coloured Horse & Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Jiangquhai, China (Pig);
independent continuant;Landskaya, Russian Federation (Goose (domestic));
independent continuant;British Spotted Pony, Spotted Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Jihe White Multiple Lines, China (Pig);
independent continuant;Salvadorean Duck, El Salvador (Goose (domestic));
independent continuant;Dales Pony, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Huchuan Mountain - Enshi Black, China (Pig);
independent continuant;Shadrinskaya, Russian Federation (Goose (domestic));
independent continuant;Cushendale, United Kingdom of Great Britain and Northern Ireland (Horse);
independent continuant;Jiangkou Luobo, China (Pig);
