class;term;comment
material entity;fruit vascular system;A vascular system (PO:0000034) that includes the totality of the portions of vascular tissue (PO:0009015) in their specific arrangement in a fruit (PO:0009001).
material entity;columella root cap initial cell;A root initial cell (PO:0000059) that produces columella cells in the root cap (PO:0020123). In direct contact with quiescent center (PO:0020149).
material entity;fruit distal end;A cardinal part of multi-tissue plant structure (PO:0025498) that is the end of a fruit (PO:0009001) distal from a fruit pedicel (PO:0004536).
material entity;columella root cap cell;Cell that constitutes the central part of the root cap, arranged in longitudinal files.
material entity;fruit proximal end;A cardinal part of multi-tissue plant structure (PO:0025498) that is the end of a fruit (PO:0009001) proximal to a fruit pedicel (PO:0004536).
material entity;lateral root cap;A portion of root parenchyma tissue that is part of a root cap and is parallel to the sides of a root axis.
material entity;central root cap;A portion of root parenchyma tissue that is the central part of a root cap in which the cells are arranged in longitudinal files.
material entity;transition vascular leaf;A vascular leaf that is part of an heteroblastic series, and is characterized by anatomical features that are intermediate between juvenile and adult leaves.
material entity;leaf lamina base;The region of the leaf lamina proximal to the stem and usually connected to it by means of a petiole.
material entity;leaf margin;A phyllome margin (PO:0025018) that is part of a leaf (PO:0025034).
material entity;primary root;A root (PO:0009005) that develops directly from a seedling radicle (PO:0020127).
material entity;tassel inflorescence;A staminate inflorescence (PO:0025601) in Zea species that bears the tassel spikelet (PO:0006309) on a terminal inflorescence axis (PO:0020122).
material entity;vegetative shoot apical meristem;A shoot apical meristem (PO:0020148) that gives rise to the apical growth of vegetative tissues and organs.
material entity;leaf sheath pulvinus;A more or less abrupt swelling, especially at the apex or base of a leaf sheath.
material entity;root stele;A stele (PO:0025197) that is part of a root (PO:0009005).
material entity;filament vascular system;A vascular system (PO:0000034) that includes the totality of the portions of vascular tissue (PO:0009015) in their specific arrangement in a filament (PO:0009067).
material entity;root cap;A portion of root parenchyma (PO:0025095) tissue that is part of the root tip (PO:0000025) and covers the root apical meristem (PO:0020147).
material entity;hypocotyl vascular system;A vascular system (PO:0000034) that is part of a hypocotyl (PO:0020100).
material entity;inflorescence axis;A shoot axis (PO:0025029) that is part of an inflorescence (PO:0009049).
material entity;stigma vascular system;A vascular system (PO:0000034) that includes the totality of the portions of vascular tissue in their specific arrangement in a stigma (PO:0009073).
material entity;lateral root;A root (PO:0009005) that develops from a lateral root primordium (PO:0000016) that is part of another root on the same plant.
material entity;anther vascular system;A phyllome vascular system (PO:0025206) that includes the totality of the portions of vascular tissue in their specific arrangement in an anther (PO:0009066).
material entity;adaxial nucellar projection;A portion of plant tissue (PO:0009007) that is the adaxial/upper portion of the nucellus (PO:0020020) overlying vascular strands in a caryopsis fruit (PO:0030104).
material entity;plant embryo vascular system;A vascular system (PO:0000034) that is part of a plant embryo (PO:0009009) .
material entity;petiole abaxial epidermis;A portion of petiole epidermis (PO:0000051) that covers the abaxial/lower surface of a petiole (PO:0020038).
material entity;central zone of the leaf lamina;Region that includes the widest or majority portion of leaf lamina and that does not include leaf apex and leaf lamina base.
material entity;petiole adaxial epidermis;A portion of petiole epidermis (PO:0000051) that covers the adaxial/upper surface of a petiole (PO:0020038).
material entity;reproductive shoot apical meristem;A shoot apical meristem (PO:0020148) that gives rise to the apical growth of reproductive tissues and organs.
process;inflorescence initiation stage;Stage of inflorescence development marked by the formation of the inflorescence meristem on a vegetative branch.
material entity;central zone of the petiole;Regions of the petiole that does not include petiole distal end and petiole proximal end.
material entity;petiole distal end;The region of the petiole distal to its stem attachment site or proximal to the leaf lamina.
material entity;higher order leaf vein;A leaf lamina vein (PO:0020138) arising from a quaternary (PO:0008022) or other higher order leaf vein.
material entity;petiole proximal end;The region of the petiole proximal to its stem attachment site.
material entity;tertiary leaf vein;A leaf lamina vein (PO:0020138) arising from a secondary leaf vein (PO:0020140).
material entity;quaternary leaf vein;A leaf lamina vein (PO:0020138) arising from a tertiary leaf vein (PO:0008021).
material entity;trichome cell;A plant cell (PO:0009002) that is part of a multicellular trichome (PO:0000282).
material entity;quiescent center;A portion of meristem tissue (PO:0009013) that is part of a root apical meristem (PO:0020147) and consists of mitotically and metabolically inactive cells and is located behind the protoderm (PO:0006210) of the root (PO:0009005).
material entity;shoot apical meristem;A shoot system meristem (PO:0006079) formed at the apex of the shoot axis (PO:0025029), including those originating from an axillary bud meristem (PO:0000232).
material entity;root apical meristem;A root meristem (PO:0006085) located at the root tip (PO:0000025), behind the root cap (PO:0020123).
material entity;stem base;The basal part of stem.
material entity;periblem;A portion of meristem tissue that forms the cortex.
material entity;lateral meristem;A portion of meristem (PO:0009013) tissue located parallel to the sides of a shoot axis (PO:0025029) or root (PO:0009005) that participates in lateral growth.
material entity;seedling;A whole plant (PO:0000003) in the seedling development stage (PO:0007131).
material entity;apical meristem;A maximal portion of meristem tissue (PO:0009013) located at a shoot apex (PO:0000037) or root tip (PO:0000025).
material entity;plerome;A meristem forming the core of the axis composed of the primary vascular tissues and associated ground tissue, such as pith and interfascicular regions.
material entity;stem internode;A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047).
material entity;stomatal pore;A plant anatomical space that forms an opening in an epidermis, flanked by two guard cells.
material entity;stem node;A shoot axis node (PO:0005004) that is part of a stem (PO:0009047).
material entity;secondary leaf vein;A leaf lamina vein (PO:0020138) arising from a primary leaf vein (PO:0025413).
process;I first mitotic division stage;Stage of microgametophyte development during which the asymmetric, first mitotic division of the microspores occurs producing a large vegetative cell and small generative cell, located near pollen wall.
material entity;secondary xylem parenchyma cell;A parenchyma cell (PO:0000074) that is part of a portion of secondary xylem parenchyma (PO:0004532).
process;secondary cell wall formation stage of secondary xylem;A cell differentiation stage of secondary xylem (PO:0025469) that occurs during the interval between the onset of secondary wall biogenesis (GO:0009834) of the cells in a portion of secondary xylem (PO:0005848) and the beginning of a cell death stage of secondary xylem (PO:0025466).
process;H late unicellular microspore stage;Stage of microgametophyte development during which a large vacuole is formed in each microspore causing a rapid increase in size and a displacement of the nucleus to one side.
material entity;included phloem;A portion of secondary phloem tissue produced by included vascular cambium.
process;cell expansion stage of secondary xylem;A cell differentiation stage of secondary xylem (PO:0025469) that occurs during the interval between the end of a cell division stage of secondary xylem (PO:0025463) and the onset of a secondary cell wall formation stage of secondary xylem (PO:0025465), during which the cells undergo cell growth (GO:0016049).
process;G early unicellular microspore stage;Stage of microgametophyte development during which the microspores round up and small vacuoles appear in their cytoplasm. The microspore walls thicken due to the formation of the exine.
material entity;ray secondary xylem parenchyma cell;A parenchyma cell (PO:0000074) that develops from a ray initial (PO:0000082) and is part of a portion of ray secondary xylem parenchyma (PO:0004534).
process;tracheary element death stage of secondary xylem;A cell death stage of secondary xylem (PO:0025466) that occurs during the interval between the first and last cell death of a tracheary element (PO:0000290) or non-septate xylem fiber cell (PO:0000274).
process;A microsporogenous mass stage;An initial stage during which the archesporial cells divide to give rise to primary parietal and sporogenous cells.
material entity;axial secondary xylem parenchyma cell;A secondary xylem parenchyma cell (PO:0004525) that is part of a portion of axial secondary xylem parenchyma (PO:0004533).
process;cell death stage of secondary xylem;A cell differentiation stage of secondary xylem (PO:0025469) that occurs during the interval between the first cell death of a tracheary element (PO:0000290) or non-septate xylem fiber cell (PO:0000274) and the death of the last secondary xylem parenchyma cell (PO:0004525) or septate fiber cell (PO:0004521) in a portion of secondary xylem (PO:0005848).
process;B formation of primary parietal and sporogenous cells stage;Stage during which the primary parietal and primary sporogenous layers are derived from archesporial cells.
material entity;septate fiber cell;A plant fiber cell (PO:0025407) with thin transverse walls (septa), which are formed when mitosis occurs within the cell after development of a secondary cell wall (GO:0009531).
process;cell differentiation stage of secondary xylem;A secondary xylem development stage (PO:0025427) that occurs during the interval between the end of a cell division stage of secondary xylem (PO:0025463) and the death of the last living cell in the secondary xylem.
process;M germinated pollen stage;The final stage in the life cycle of the male gametophyte. Upon rehydration, mature pollen grain forms a tubular outgrowth, the pollen tube, which carries the male gametes.
material entity;libriform fiber cell;A xylem fiber cell (PO:0000274) with simple pits.
process;secondary xylem parenchyma cell death stage of secondary xylem;A cell death stage of secondary xylem (PO:0025466) that occurs during the interval between the last cell death of a tracheary element (PO:0000290) or non-septate xylem fiber cell (PO:0000274) and the last cell death in a portion of secondary xylem (PO:0005848).
process;L mature pollen stage;Stage of microgametophyte development during which the pollen reaches mature stage and desiccates.
material entity;included vascular cambium;Cambium occurring within xylem.
process;K second mitotic division stage;A pollen development stage (PO:0001007) during which the generative cell (PO:0020097) undergoes mitotic division to form two male gametes, the pollen sperm cells (PO:0025121).
material entity;outer vascular cambium;Cambium at the outer margin of the xylem cylinder.
process;vascular leaf primordium formation stage;A vascular leaf initiation stage (PO:0001051) during which a vascular leaf primordium (PO:0000017) forms in the peripheral zone (PO:0000225) of the vegetative shoot apical meristem (PO:0020148).
material entity;procumbent ray secondary xylem parenchyma cell;A ray secondary xylem parenchyma cell (PO:0004527) that is oriented with its longest dimension radial to the plant axis (PO:0025004) in which it is found.
material entity;upright ray secondary xylem parenchyma cell;A ray secondary xylem parenchyma cell (PO:0004527) that is oriented with its longest dimension parallel to the plant axis (PO:0025004) in which it is found.
process;F microspore release stage;Stage of microgametophyte development during which the callose wall between the tetrads breaks down and haploid microspores are released and lie freely in locules.
material entity;early wood tracheary element;A secondary xylem tracheary element (PO:0025445) that is part of a portion of early wood (PO:0004515).
material entity;intermediary companion cell;A companion cell (PO:0000400) that has dense cytoplasm, a small vacuole, proplastids rather than chloroplasts, and abundant and highly branched plasmodesmata linking it to adjacent mesophyll cells.
process;cell division stage of secondary xylem;A secondary xylem development stage (PO:0025427) that occurs during the interval between the first and last cell division in a portion of secondary xylem tissue (PO:0005848), during which cells are produced by divisions of cambial initials (PO:0000295) or xylem mother cells.
material entity;late wood tracheary element;A secondary xylem tracheary element (PO:0025445) that is part of a portion of late wood (PO:0004516).
process;C four anther lobes formed stage;Stage during which the four-lobed anther pattern with two developing stomium regions (notch) are formed.
material entity;infructescence fruit pedicel;A fruit pedicel (PO:0030114) that bears a fruit (PO:0009001) in an infructescence (PO:0006342).
material entity;primary phloem sieve cell;A sieve cell (PO:0025415) that is part of a portion of primary phloem (PO:0006075).
process;rapid elongation of leaf sheath stage;A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf sheath (PO:0020104) occurs.
material entity;fruit placenta;A portion of placenta tissue (PO:0025078) that is part of a fruit (PO:0009001) and to which seeds (PO:0009010) are attached.
material entity;secondary phloem sieve element;A sieve element (PO:0025406) that is part of a portion of secondary phloem (PO:0005043).
process;rapid elongation of vascular leaf lamina stage;A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf lamina (PO:0020039) occurs.
material entity;indeterminate nodule;A root nodule characterized by a persistent meristem, presence of vascular transfer cells, and cell division in the inner cortex with non-dividing infected cells and bacteria.
material entity;secondary phloem sieve cell;A sieve cell (PO:0025415) that is part of a portion of secondary phloem (PO:0005043).
material entity;nucellar plant embryo;A somatic plant embryo derived directly from nucellus cells.
material entity;primary phloem sieve tube element;A sieve tube element (PO:0000289) that is part of a portion of primary phloem (PO:0006075).
process;E tetrad stage;Stage immediately following meiosis, during which the tetrads of microspores are still hold together, enclosed by the callose wall.
material entity;secondary xylem parenchyma;A portion of parenchyma (PO:0005421) tissue that is part of a portion of secondary xylem (PO:0005848) and has as parts secondary xylem parenchyma cells (PO:0004525).
material entity;transfer companion cell;A companion cell (PO:0000400) that is a transfer cell (PO:0000078) with many cell wall invaginations.
material entity;sheath cell;Cell on the margin of, and tending to form a sheath around, the procumbent cells of a multi-seriate ray as seen in tangential section.
material entity;secondary phloem sieve tube element;A sieve tube element (PO:0000289) that is part of a portion of secondary phloem (PO:0005043).
material entity;ray secondary xylem parenchyma;A portion of secondary xylem parenchyma (PO:0004532) that is part of a ray system (PO:0025411) and has as parts ray secondary xylem parenchyma cells (PO:0004527).
process;D locules established stage;Stage during which the four clearly defined locules are established. All anther cell types present and microspore mother cells appear.
material entity;axial secondary xylem parenchyma;A portion of secondary xylem parenchyma (PO:0004532) that is part of an axial system (PO:0025410) and has as parts axial secondary xylem parenchyma cells (PO:0004526).
material entity;ordinary companion cell;A companion cell (PO:0000400) that lacks cell wall invaginations and has few or no plasmodesmata connecting it to adjacent mesophyll cells.
material entity;determinate nodule;A root nodule characterized by a dividing infected cells and bacteria, vascular transfer cells absent and cell division is in the outer cortex.
material entity;tile cell;Empty upright ray cell of approximately the same height as the procumbent ray cell and occurring in indeterminate horizontal series usually interspersed among the procumbent cells.
process;formation of ligule primordium stage;A vascular leaf expansion stage (PO:0001052) when conical P3 leaf completely encloses SAM, and the ligule (PO:0020105) primordium is visible.
material entity;primary xylem vessel;A xylem vessel (PO:0025417) that is part of a primary xylem tissue (PO:0005849).
process;hood-shaped primordium stage;Stage of leaf development when a hood-shaped primordium is formed, partially enclosing P1 and SAM, as in Poaceae.
material entity;primary phloem sieve element;A sieve element (PO:0025406) that is part of a portion of primary phloem (PO:0006075).
material entity;secondary xylem vessel;A xylem vessel (PO:0025417) that is part of a portion of secondary xylem tissue (PO:0005848).
process;H anther senescence stage;Stage during which the senescence of anther and stamen occurs. Shrinkage of cells and anther structure takes place.
material entity;subterranean shoot axis tuber;A shoot axis tuber (PO:0004543) that develops below ground.
material entity;tuber axillary shoot;An axillary shoot that develops from a tuber axillary bud.
material entity;bract primordium;A phyllome primordium (PO:0025487) that is committed to the development of a flower bract (PO:0009055).
process;G anther dehiscence stage;Stage during which the dehiscence of anthers occurs. Anther breaks along stomium and pollen is released.
material entity;epicormic shoot system;A shoot-borne shoot system (PO:0004546) developing from a stem (PO:0009047).
material entity;basal root;A shoot-borne internode root (PO:0025593) that arises from a part of the hypocotyl (PO:0020100).
material entity;stamen anlagen;A phyllome anlagen (PO:0025430) that will give rise to a stamen primordium (PO:0004705) and is part of a peripheral zone (PO:000225) of a flower meristem (PO:0000229).
process;F bilocular anther stage;Stage during which anther becomes bilocular, after degeneration and breakage of septum below stomium.
material entity;plant organ margin;A cardinal organ part (PO:0025001) that is the edge of a plant organ (PO:0009008) and the area immediately internally adjacent to it.
material entity;inflorescence bract primordium;A bract primordium (PO:0025128) is committed to the development of an inflorescence bract (PO:0009054).
material entity;aerial tuber;A shoot axis tuber (PO:0004543) that develops above ground.
material entity;plant axis;An axial plant organ (PO:0009008).
material entity;flower bract primordium;A bract primordium (PO:0025128) is committed to the development of a flower bract (PO:0009034).
material entity;shoot axis tuber;A shoot axis (PO:0025029) that develops from a branch (PO:0025073) and is radially enlarged for storage.
material entity;collective plant organ structure;A collective plant structure (PO:0025497) that is a proper part of a whole plant (PO:0000003), and is composed of two or more adjacent plant organs (PO:0009008) and the associated portions of plant tissue (PO:0009007).
material entity;rhizome;A swollen shoot axis (PO:0025029) that grows horizontally at or below the substrate surface and produces shoots above and roots or rhizoids below.
material entity;plant gamete;A native plant cell (PO:0025606) that has half the chromosome complement of the sporophyte and is capable of fertilization to create a plant zygote (PO:0000423).
material entity;shoot-borne shoot system;A shoot system that is initiated from a shoot.
material entity;leaf lamina margin;A leaf margin (PO:0020128) that is part of a leaf lamina (PO:0020039).
material entity;root-borne shoot system;A shoot system that is initiated from a root.
material entity;petal margin;A phyllome margin (PO:0025018) which is part of a petal (PO:0009032).
material entity;leaflet primordium;A primordium (PO:0025127) that develops as part of a leaf primordium (PO:0000017) of a compound leaf (PO:0020043) and is committed to the development of a leaflet (PO:0020049).
material entity;fruit columella;A columella (PO:0025230) that forms the central axis of a fruit.
material entity;shoot-borne root primordium;A root primordium (PO:0005029) that is committed to the development of a shoot-borne root (PO:0000042).
process;E anther wall tapetum degeneration initiated stage;An anther development stage (PO:0001004) during which degeneration of the anther wall tapetum (PO:0009071) is initiated, as the deposition on the surface of the microspore (PO:0020048) primexine proceeds.
material entity;lodicule anlagen;A phyllome anlagen (PO:0025430) that will give rise to a lodicule primordium (PO:0008040) and is part of a peripheral zone (PO:000225) of a flower meristem (PO:0000229).
process;4 root elongation stage;The stage at which a root is elongating.
material entity;bract anlagen;A phyllome anlagen (PO:0025430) that will give rise to a bract primordium (PO:0025487) and is part of a peripheral zone (PO:000225) of a reproductive shoot apical meristem (PO:0008028).
material entity;cardinal organ part;A cardinal part of multi-tissue plant structure (PO:0025498) that is a proper part of a plant organ (PO:0009008) and includes portions of plant tissue (PO:0009007) of at least two different types.
material entity;sepal anlagen;A phyllome anlagen (PO:0025430) that will give rise to a sepal primordium (PO:0004704) and is part of a peripheral zone (PO:000225) of a flower meristem (PO:0000229).
material entity;petal anlagen;A phyllome anlagen (PO:0025430) that will give rise to a petal primordium (PO:0000021) and is part of a peripheral zone (PO:000225) of a flower meristem (PO:0000229).
process;lemma development stage;A phyllome development stage (PO:0025579) that has as a primary participant a lemma (PO:0009037).
material entity;tuberous root tuber;A root (PO:0009005) that develops from a tuberous root (PO:0025523) and is further radially enlarged for storage.
material entity;cellular endosperm;A portion of endosperm (PO:0009089) in which the first karyokinesis event is accompanied by cytokinesis.
process;coleorhiza emergence stage;A root development stage (PO:0007520) during which a coleorhiza (PO:0020034) emerges from the seed coat (PO:0009088).
material entity;free nuclear endosperm;A portion of endosperm (PO:0009089) tissue in which at least the first karyokinesis is not followed by cytokinesis.
process;fully expanded sepal stage;Stage of calyx development when sepal is fully expanded.
material entity;androecium primordium;A floral structure primordium (PO:0025477) that is committed to the development of an androecium (PO:0009061).
process;sepal differentiation and expansion stage;Stage of calyx development defined by differentiation and expansion of sepal.
material entity;floral organ primordium;A primordium (PO:0025127) that is committed to the development of a floral organ (PO:0025395) and is part of a reproductive shoot apex (PO:0025222).
material entity;basal root primordium;A root primordium (PO:0005029) that is committed to the development of a basal root (PO:0025002).
process;lodicule development stage;A phyllome development stage (PO:0025579) that has as a primary participant a lodicule (PO:0009036).
process;palea development stage;A phyllome development stage (PO:0025579) that has as a primary participant a palea (PO:0009038).
material entity;synergid;Cell, usually two in number, in the micropylar end of the embryo sac of angiosperms associated with the egg in the egg apparatus.
material entity;plant embryo cotyledon;A cotyledon (PO:0020030) that is part of a plant embryo (PO:0009009).
material entity;reaction wood;A portion of secondary xylem (PO:0005848) found on either the upper or lower side of a shoot axis (PO:0025029) that is or was angled away from vertical, with anatomical characteristics that depend on whether it is compression wood (PO:0025473) or tension wood (PO:0025474).
process;functional specialization of the endosperm stage;Stage of endosperm development during which the functional specialization of the maturing endosperm occurs.
material entity;seedling cotyledon;A cotyledon (PO:0020030) that is part of a seedling (PO:0008037).
process;chalazal and micropylar domain establishment stage;The initial stage of endosperm development during which the chalazal and micropilar domains are established.
material entity;tension wood;A portion of reaction wood (PO:0025472) found on the upper side of a shoot axis (PO:0025029) that is or was angled away from vertical and that has as parts gelatinous fiber cells (PO:0025422).
process;dry seed stage;A seed development stage (PO:0001170) during which the mature seed reaches a low moisture content.
material entity;compression wood;A portion of reaction wood (PO:0025472) found on the lower side of a shoot axis (PO:0025029) that is or was angled away from vertical and that has as parts heavily lignified tracheids (PO:0000301) with a specialized S2 layer that contains more lignin and has a larger (more horizontal) microfibril angle.
material entity;septate phloem fiber cell;A phloem fiber cell (PO:0004519) that has as parts one or more thin internal partitions or septa.
material entity;septate libriform fiber cell;A libriform fiber cell (PO:0004520) that has as parts one or more thin internal partitions or septa.
process;plant tissue development stage;A plant structure development stage (PO:0009012) that has as primary participant a portion of plant tissue (PO:0009007).
material entity;gelatinous fiber cell;A xylem fiber cell (PO:0000274) in which the inner-most layer of the secondary cell wall (GO:0009531) contains abundant cellulose and is poor in lignin.
process;xylem development stage;A vascular tissue development stage (PO:0025424) that has as primary participant a portion of xylem (PO:0005352) tissue.
process;vascular tissue development stage;A plant tissue development stage (PO:0025423) that has as primary participant a portion of vascular tissue (PO:0009015).
process;secondary xylem development stage;A xylem development stage (PO:0025425) that has as primary participant a portion of secondary xylem (PO:0005848) tissue during the interval between the beginning of a cell division stage of secondary xylem (PO:0025463) and the death of the last living cell in the secondary xylem.
process;phloem development stage;A vascular tissue development stage (PO:0025424) that has as primary participant a portion of phloem (PO:0005417) tissue.
material entity;leaf plate meristem;A phyllome plate meristem (PO:0025428) in the vascular leaf (PO:0009025).
material entity;phyllome plate meristem;A portion of meristem (PO:0009013) tissue in which the planes of cell division in each layer are anticlinal to the surface of the phyllome (PO:0006001).
material entity;axial system;A portion of secondary vascular tissue (PO:0025409) that has as parts cells derived from fusiform initials (PO:0000079) and oriented with their longest diameter parallel to a plant axis (PO:0025004).
material entity;albuminous cell;A parenchyma cell (PO:0000074) that is morphologically and physiologically associated with a sieve cell (PO:0025415) but does is not derived from the same initial cell (PO:0004011) as the sieve cell.
material entity;ray system;A portion of secondary vascular tissue (PO:0025409) that has as part ray wood parenchyma (PO:0004534) and extends radially in the secondary xylem (PO:0005848) and secondary phloem (PO:0005848) of a plant axis (PO:0025004).
material entity;secondary thickening meristem;A lateral meristem (PO:0020145) that is not contiguous with an apical meristem (PO:0020144) and has a parts multiple layers of meristematic cells (PO:0004010).
material entity;primary leaf vein;A leaf lamina vein (PO:0020138) that connects directly to a petiole vascular system (PO:0000052) or a shoot axis vascular system (PO:0000039).
material entity;sieve tube;A portion of phloem tissue (PO:0005417) that has as parts a series of sieve tube elements (PO:0000289) arranged end to end and interconnected through sieve plates.
material entity;sieve cell;A sieve element (PO:0025406) in which the sieve areas are not aggregated into sieve plates (GO:0097218).
material entity;sclerid cell;A sclerenchyma cell (PO:0000077) with many pits in the secondary cell wall.
material entity;xylem vessel;A portion of xylem (PO:0005352) tissue that has as parts a tube-like series of vessel members (PO:0002003), the common walls of which have perforations.
material entity;septate fiber tracheid;A fiber tracheid (PO:0000355) that has as parts one or more thin internal partitions or septa.
process;stigma cell differentiation stage;Epidermal cells at the top of developing style differentiate stigma.
material entity;root secondary thickening meristem;A secondary thickening meristem (PO:0025414) that is part of a root (PO:0009005).
process;closure of carpel(s) stage;Stage of gynoecium development defined by the closure of the carpel(s).
material entity;stem secondary thickening meristem;A secondary thickening meristem (PO:0025414) that is part of a stem (PO:0009047).
process;fertilized ovule stage;The earliest stage of seed development immediately following double fertilization.
material entity;secondary xylem tracheary element;A tracheary element (PO:0000290) that is part of a portion of secondary xylem tissue (PO:0005848).
process;ovule differentiation and expansion stage;Stage of ovule development defined by differentiation and expansion of ovules.
material entity;primary xylem tracheary element;A tracheary element (PO:0000290) that is part of a primary xylem tissue (PO:0005849).
material entity;secondary xylem tracheid;A tracheid PO:0000301 that is part of a portion of secondary xylem tissue (PO:0005848).
material entity;primary xylem tracheid;A tracheid (PO:0000301) that is part of a xylem tissue (PO:0005849).
process;gynoecium differentiation and expansion stage;Stage of gynoecium development defined by differentiation and expansion of carpels.
material entity;secondary xylem vessel member;A xylem vessel member (PO:0002003) that is part of a portion of secondary xylem tissue (PO:0005848).
material entity;abscission zone;A portion of plant tissue (PO:0009007) that has as part a separation layer (PO:0006211) and a protective layer (PO:0006212), and is involved in the abscission (GO:0009838) of a fruit (PO:0009001), flower (PO:0009046), leaf (PO:0025034) or other plant structure (PO:0009011).
process;formation of vascular leaflet primordia stage;A vascular leaf expansion stage (PO:0001052) at which a leaflet primordium (PO:0025481) is initiated on the leaf rachis (PO:0020055) of a compound leaf (PO:0020043).
material entity;primary xylem vessel member;A xylem vessel member (PO:0002003) that is part of a primary xylem tissue (PO:0005849).
process;plant embryo bilateral stage;A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).
process;developing seed stage;Stage of seed development characterized by seed growth and differentiation.
material entity;glandular trichome;A trichome (PO:0000282) that secretes or sequesters a portion of plant substance (PO:0025161).
material entity;root cambial zone;A cambial zone that is part of a root (PO:0009005).
material entity;shoot axis cambial zone;A cambial zone that is part of a shoot axis (PO:0025029).
process;vascular leaf anlagen formation stage;A vascular leaf initiation stage (PO:0007040) during which the vascular leaf founder cells (PO:0025592) of the shoot apical meristem (PO:0020148) form a vascular leaf anlagen (PO:0025431).
material entity;growth ring;A portion of secondary xylem (PO:0005848) that has as parts a single layer of early wood (PO:0004515) and a single layer of late wood (PO:0004516) from the same growth season and is part of a shoot axis (PO:0025029) or root (PO:0009005).
material entity;cotyledon anlagen;A phyllome anlagen (PO:0025430) that will give rise to a cotyledon primordium (PO:0000015) and is part of a peripheral zone (PO:000225) of an embryo shoot apical meristem (PO:0006362).
process;fruit development stage;A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a single fruit (PO:0009001).
material entity;sapwood;A portion of secondary xylem (PO:0005848) that has as parts living secondary xylem parenchyma cells (PO:0004525).
