class;term;comment
material entity;raised mire;Rain-fed, potentially deep peatlands occurring principally in lowland areas across much of Northern Europe, as well as in the former USSR, North America and parts of the southern hemisphere.
object;water droplet;A droplet of water
material entity;string mire;Flat or concave peatlands with a string-like pattern of hummocks (hence the name), found principally in northern Scandinavia but occurring in the western parts of the former USSR and in North America. A few examples exist in northern Britain.
object;raindrop;A droplet formed by condensation of vapour in an atmosphere and which is sufficiently massive to overcome atmospheric resistance and fall to a planetary surface due to gravity.
fiat object;stony desert;A desert plain characterized by a surface veneer of gravel or stones.
material entity;hanging valley;A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume.
material entity;nunatak;The exposed summit of a ridge, mountain, or peak not covered with ice or snow within an ice field or glacier. The term is typically used in areas where a permanent ice mass is present.
material entity;plateau;An elevated and comparatively level expanse of land.
process;combustion process;Combustion or burning is a high-temperature exothermic redox chemical reaction between a fuel and an oxidant that produces oxidized, often gaseous products, in a mixture termed as smoke.
material entity;mound;A rounded elevated area.
material entity;smoke;
object;cloud droplet;A droplet which is spherical in shape and suspended in an atmosphere, being of too small a mass to be pulled to a planetary surface by gravity.
object;water raindrop;
process;virga;
object;water-based cloud droplet;A cloud droplet composed primarily of water.
material entity;levee;An artificial slope or wall, usually earthen, which parallels the course of a river, built for the purpose of containing the river.
material entity;mesa;An elevated area of land with a flat top and sides that are usually steep cliffs. Mesas form in areas where horizontally layered rocks are uplifted by tectonic activity.
material entity;elevated landform;A landform elevated above the surrounding area.
material entity;pedosphere;An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere.
material entity;moraine;An accumulation of boulders, stones, or other debris carried and deposited by a glacier.
material entity;isthmus;Narrow section of land in a body of water connecting two larger land areas.
material entity;planetary photic zone;A planetary part which is exposed, at least periodically, to light.
material entity;karst;A surface landform which is formed by the dissolution of a soluble layer or layers of bedrock.
material entity;photosphere;An astronomical body part which is composed of those parts of a star, distal from the star's core, from which light is radiated into space.
fiat object;sandy desert;A desert plain characterized by a surface veneer of sand.
fiat object;rocky desert;A desert plain characterized by a surface veneer of rock.
material entity;dune;A hill of sand built by eolian processes.
material entity;river valley;A valley that contains, and has been formed by, a river.
material entity;humid air;Air which has increased levels of water vapour.
material entity;closed eaves;Eaves in which projecting roof members are not visible, being closed from view by boarding.
material entity;water vapour saturated air;Air which has a partial pressure of water vapour equal or near equal to its equilibrium vapor pressure at a given temperature.
material entity;exorheic lake;A lake from which water constantly flows out of under almost all climatic circumstances, maintaining low concentrations of dissolved solid relative to endorheic lakes.
material entity;illuminated biosphere part;An astronomical body part which includes those parts of a biosphere that are, at least periodically, illuminated and in which photosynthesis may occur.
material entity;open eaves;Overhanging eaves where the rafters and underside of the roof are visible from below.
material entity;eaves;A part of a building roof which overhangs the face of a wall and, normally, projects beyond the side of a building.
material entity;canyon;Relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope.
material entity;bar;A linear shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related: to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important.
material entity;blowhole;A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air.
material entity;asphalt lake;A lake formed of a natural deposit of alphalt, a black, highly viscous liquid or semi-solid composed of fossil hydrocarbons.
material entity;atoll;An oceanic island, often having a characteristic ring-like shape surrounding a lagoon. Atolls are formed when coral reef grows around a volcanic island that later subsides into the ocean.
material entity;coffee plantation;
material entity;nitrogen-oxygen planetary atmosphere;A planetary atmosphere which is composted primarily of dinitrogen and dioxygen gas.
material entity;rubber plantation;A plantation which is used to grow Hevea brasiliensis or other species from which natural latex is harvested.
material entity;planetary atmosphere;An atmosphere which surrounds a planet.
material entity;banana plantation;
material entity;tea plantation;
material entity;sisal plantation;
material entity;biosphere;An astronomical body part which includes all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.
fiat object;area of deciduous forest;An area of a planet's surface which is primarily covered by a forest in which the majority of trees shed foliage simultaneously in response to seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;hydrosphere;An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet.
material entity;astronomical body part;A material part of an astronomical body.
material entity;desert pavement;A desert surface covered with closely packed, interlocking angular or rounded rock fragments of pebble and cobble size.
material entity;liquid environmental material;An environmental material which is in a liquid state.
material entity;solid environmental material;An environmental material which is in a solid state.
material entity;causeway;A road or railway elevated by a bank, usually across a broad body of water or wetland.
material entity;sugar plantation;
fiat object;desert oasis;A small, isolated, fertile or green area in a desert region, usually having a spring or well.
material entity;peat cut;An artificial working of peatland to remove the peat.
fiat object;area of developed space with high usage intensity;An area of developed space used for high intensity purposes such as accommodating dense and multi-occupant residential, commercial, and industrial units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
fiat object;area of developed space with medium usage intensity;An area of a planet's surface which is primarily covered by constructed or manufactured objects and materials covering from half to three-forths of its extent and by cultivated or anthropically maintained vegetation. Such areas are used for medium intensity purposes such as accommodating dense collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
fiat object;area of gramanoid or herbaceous vegetation;An area of a planet's surface which is primarily covered by gramanoid or herbaceous vegetation and which is not subject to intensive management by humans. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
fiat object;area of sedge- and forb-dominated herbaceous vegetation;An area of a planet's surface which is primarily covered by sedges or forbs, possibly interpersed with grasses or grass-like plants. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
process;icestorm;An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces.
process;snowstorm;An atmospheric storm during which intense snowfall occurs.
fiat object;area of developed space with low usage intensity;An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation and by constructed or manufactured objects and materials covering up to approximately half its extent. Such areas are used for low intensity purposes such as accommodating collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
fiat object;area of developed open space;An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation planted for recreation, erosion control, or aesthetic purposes interspersed by constructed or manufactured objects and materials. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
fiat object;area of lichen-dominated vegetation;An area of a planet's surface which is primarily covered by fruticose or foliose lichens and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
process;oxygen cycling;A biogeochemical cycle which has oxygen as participant.
fiat object;area of pastureland or hayfields;An area of a planet's surface which is partly covered by planted grasses, legumes, or mixtures of grass and legumes and used for livestock grazing or the production of seed or hay crops. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;lignite power plant;
fiat object;area of moss-dominated vegetation;An area of a planet's surface which is primarily covered by mosses and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;solar power station;
material entity;ocean thermal power station;
material entity;tidal power plant;
material entity;coke;Coal heated in the absence of air.
material entity;hydrocarbon-based environmental material;
process;precipitation process;A precipitation process is a process in which a portion of some substance segregates from a material in which that substance or its precursors were dissolved or suspended in and settles due to a force such as gravity or centrifugal force.
process;hailfall;A hydrological process during which hail stones fall to the surface of an astronomical body.
process;atmospheric storm;An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather.
process;storm;A storm is an environmental process in which an environmental system and the processes it participates in are strongly perturbed by external forcings. These forcings typically increase the rates of processes unfolding in the system, relative to their normal rates.
material entity;puddle of water;A puddle is a small accumulation of water, on a surface. It can form either by pooling in a depression on the surface, or by surface tension upon a flat surface.
process;ground deformation process;A process in which a solid planetary surface is deformed.
material entity;ballast tank;A ballast tank is a compartment within a boat, ship or other floating structure that holds water, which is used as ballast to provide stability for a vessel.
material entity;ballast water;Ballast water is water contained in the ballast tanks of sea-going vessels.
process;rainstorm;An atmospheric storm during which intense rainfall occurs.
process;thunderstorm;An atmospheric storm which occurs in cumulonimbus clouds and during which lightning and thunder occur.
disposition;stellar radiation energy;
material entity;fossil fuel power plant;A power station which burns a fossil fuel such as coal, natural gas, or petroleum to produce electricity.
material entity;coal power plant;
material entity;gas power station;
process;hailstorm;An atmospheric storm during which intense hailfall occurs
disposition;radiant energy;Potential energy which is stored in the fields of propagated by electromagnetic radiation.
disposition;rest energy;potential energy due to an object's rest mass.
disposition;thermal energy;Kinetic energy which is realised through the microscopic motion of particles.
disposition;wind wave energy;Mechanical wave energy which inheres in an atmosphere and is realised during an atmospheric wind.
disposition;geothermal energy;Thermal energy which propagates through a solid (typically rocky) astronomical body.
material entity;mouth of liquid discharge conduit;A site at the terminus of a liquid conveyance conduit where the liquid carried is discharged into the sea or a river.
material entity;overflow structure;A structure which is built into the container of a water body which allows water to flow out of the container when the volume of the water contained exceeds that of its cavity.
material entity;photovoltaic system;A photovoltaic system is a power system designed to supply usable solar power by means of photovoltaics. It consists of an arrangement of several components, including solar panels to absorb and convert sunlight into electricity, a solar inverter to change the electric current from DC to AC, as well as mounting, cabling and other electrical accessories to set up a working system.
material entity;electric power system;An electric power system is a network of electrical components used to supply, transfer and use electric power.
material entity;temperate marine upwelling biome;A marine upwelling biome which is located in a region subject to temperate climate patterns.
material entity;turbulent aquatic surface layer;A turbulent surface layer of a water body maintained by strong currents setting over submerged ridges or shoals or by winds opposing a current.
fiat object;area of dwarf scrub;An area of a planet's surface which is partly covered by shrubs with ground-hugging stems or low growth habit, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;domestic solar panel array;A solar panel array that is integrated into the power system of a human dwelling.
material entity;solar panel array;A group of solar panels, typically belonging to the same photovoltaic system, arranged to maximise interception of solar radiation.
fiat object;area of scrub;An area of a planet's surface which is primarily covered by a shrubs, young trees, or stunted trees.. The surfaces of this area are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;marl;Marl is a mass of calcium carbonate derived from mollusk shells and mixed with silt and clay.
process;coral bleaching process;An environmental process in which coral expels the symbiotic algae living in its tissue as a result of stress, causing the coral to turn white.
fiat object;area of mixed forest;An area of a planet's surface which is primarily covered by a forest in which the trees are a mixture between those that lose and retain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;tropical marine coral reef biome;A marine coral reef biome which is located in a region with a tropical climate.
material entity;methane clathrate;A clathrate material in which a large amount of methane is trapped within a crystal structure of water, forming a solid similar to ice.
material entity;clathrate material;A material which is primarily composed of a substance arranged as a lattice which can trap or contain other molecules.
material entity;temperate mediterranean sea biome;A mediterranean sea biome which is subject to temperate climate patterns.
material entity;temperate marginal sea biome;A marginal sea biome which is located in a region with a temperate climate.
material entity;tropical marine upwelling biome;A marine upwelling biome which is subject to tropical climate patterns.
material entity;marine upwelling biome;A marine biome which contains communities adapted to living in an environment determined by an upwelling process.
disposition;wave energy;Energy which inheres in a wave and is realised during its propagation.
process;irradiation by photosynthetically active radiation;Irradiation during which a material entity receives energy through photosynthetically active radiation.
disposition;electromagnetic wave energy;Wave energy which inheres in perpendicular electric and magnetic fields and which is realised when they oscillate and propagate.
process;irradiation by ionizing radiation;Irradiation during which a material entity receives energy through ionizing radiation.
process;irradiation by non-ionizing radiation;Irradiation during which a material entity receives energy through non-ionizing radiation.
fiat object;fiat part of an astronomical object;A part of an environmental system whose boundaries are determined by fiat.
material entity;area of high atmospheric pressure;A gaseous part of an atmosphere in which gases have increased atmospheric pressure.
process;percolation;A material transport process during which a fluid is filtered through porous soild or semi-solid materials.
process;drainage process;A material transport process during which a liquid which is not absorbed or otherwise held in place by a material is transported away from its location.
one-dimensional temporal region;rainy day;A day during which water-based rainfall occurs.
process;percolation of water through soil;Percolation during which water moves through the interstices of soil.
one-dimensional temporal region;day;A one-dimensional temporal region which spans the duration an astronomical body completes one rotation on its axis.
process;material diffusion process;A material transport process during which material moves from a region of higher concentration to a region of lower concentration.
process;irradiation;An energy transfer process during which a material entity receives energy through radiation.
specifically dependent continuant;convective;A physical quality of a process which is characteristic of processes that transport material within a volume due to the combined effects of material property heterogeneity and body forces across that volume.
specifically dependent continuant;advective;A physical quality of a process which is characteristic of process that transport material without, themselves, changing the qualities of those materials or the processes that are unfolding within them.
process;convective transport process;A material transport process which arises spontaneously due to physical heterogeneities in a portion of a material and forces which act throughout its volume.
object;planet;A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals.
object;nebula;An interstellar cloud of dust, hydrogen, helium and other ionized gases
object;globular star cluster;A group of gravitationally bound stars.
object;dwarf planet;An astronomical body which is in direct orbit of a star and is massive enough for its own gravity to compress it into a shape preserved by hydrostatic equilibrium (usually a spheroid), but which shares its orbit with other bodies, such as asteroids or comets.
object;galaxy;A galaxy is a gravitationally bound system of stars, stellar remnants, interstellar gas, dust, and dark matter.
object;planetary moon;An astronomical body which orbits a planet of comparatively greater mass.
object;star;An astronomical object which is composed primarily of luminous plasma held in a spherical form by gravitational forces.
object;astronomical object;An object which is composed of one or more gravitationally bound structures that are associated with a position in space.
object;asteroid;
object;minor planet;A minor planet is an astronomical object in direct orbit around the Sun that is neither a planet nor exclusively classified as a comet. Minor planets can be dwarf planets, asteroids, trojans, centaurs, Kuiper belt objects, and other trans-Neptunian objects.
material entity;marine coral reef biome;The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals.
material entity;epeiric sea biome;The epeiric sea (also known as an epicontinental sea) biome comprises a shallow seas that extend over part of a continent. Epeiric seas are usually associated with the marine transgressions of the geologic past, which have variously been due to either global eustatic sea level changes, local tectonic deformation, or both, and are occasionally semi-cyclic.
quality;sea surface height;A elevation quality which inheres in a marine water body by virtue of the position of that water body's surface layer (adjacent to an atmosphere) relative to some reference elevation.
material entity;marginal sea biome;The marginal sea biome comprises parts of an ocean partially enclosed by land such as islands, archipelagos, or peninsulas. Unlike mediterranean seas, marginal seas have ocean currents caused by ocean winds. Many marginal seas are enclosed by island arcs that were formed from the subduction of one oceanic plate beneath another.
material entity;marine faunal bed;A marine bed which is covered by animals which have benthic habitats, including attached, clinging, sessile, infaunal, burrowing, laying, interstitial, and slow-moving animals, but not animals that have created substrate.
material entity;mediterranean sea biome;The mediterranean sea biome comprises mostly enclosed seas that have limited exchange of deep water with outer oceans and where the water circulation is dominated by salinity and temperature differences rather than winds.
material entity;mussel bed;A marine faunal bed which is dominated by mussels of the Mytilus or Modiolus genera either 1) resting on the sediment surface, 2) partially embedded in the sediment, 3) attached to conspecifics (by using their byssal threads), or 4) attached to a piece of gravel in slightly gravelly fine sediments.
material entity;ocean biome;A marine biome which is determined by an ocean.
material entity;marine bed;A submerged bed which underlies a marine water body.
material entity;ocean time series station;A research facility consisting of instruments that measure the properties of the oceans over time. Usually of at least approximately fixed location.
material entity;marine white smoker biome;A marine white smoker biome comprises regions of the marine hydrothermal vent biome characterised by lightly hued plumes, typically containing barium, calcium, and silicon. These vents tend to have lower temperature plumes when compared to black smoker environments.
fiat object;area of attached faunal communities;An environmental zone within which ecological communities of animals are attached to some substrate.
material entity;marine ultramafic hydrothermal vent biome;A marine ultramafic hydrothermal vent biome comprises regions of themarine hydrothermal vent biome hosted on ultramafic (also referred to as ultrabasic) rocks. Ultramafic rocks are igneous and meta-igneous rocks with very low silica content (less than 45%), generally >18% MgO, high FeO, low potassium, and are composed of usually greater than 90% mafic minerals (dark colored, high magnesium and iron content). The Earth's mantle is composed of ultramafic rocks.
fiat object;area of attached Modiolus assemblages;An area which is dominated by dense accumulations of mussels, of the genus Modiolus, attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish).
material entity;marine basaltic hydrothermal vent biome;A marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. Basalt generally has a composition of 45 to 55 wt % SiO2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % TiO2, 5 to 14 wt % FeO and 14 wt % or more Al2O3. Contents of CaO are commonly near 10 wt %, those of MgO commonly in the range 5 to 12 wt %.
material entity;mussel reef;A marine reef which is primarily composed of self-adhered or conglomerated mussel shells.
material entity;Bathymodiolus-dominated oceanic mussel reef;An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells
material entity;neritic mussel reef;A marine reef which is located on a shelf (i.e. in the neritic zone) and primarily composed of self-adhered or conglomerated mussel shells.
material entity;marine subtidal rocky reef biome;The marine rocky subtidal reef biome comprises regions of the marine reef biome composed mainly of rock and which harbour abundant communities of algae and invertebrates. These reefs are often very patchy, with alterations of rocks dominated by rich invertebrate assemblages and turf-forming calcareous red algae.
fiat object;area of attached mussel assemblages;An area which is dominated by dense accumulations of mussels attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish).
material entity;marine black smoker biome;A marine black smoker biome comprises regions of the marine hydrothermal vent biome characterised by a black vent plume. This black plume is a consequence of dissolved metals and minerals forming complexes with sulphide and indicates polymetallic sulphide mineral deposits beneath the surface.
material entity;oceanic mussel reef;A marine reef which is present in the depths beyond (offshore relative to) the continental shelf and primarily composed of self-adhered or conglomerated mussel shells.
material entity;oceanic abyssopelagic zone biome;The abyssopelagic zone biome comprises the marine water column below the bathypelagic zone biome at approximately 2500 -2700 m and extends either to the hadal pelagic zone biome (at approximately 6000 m) or to the benthopelagic zone biome within ca. 100 m of the seafloor. The depth of 2700 m may be critical for physiological reasons as the change in hydrostatic pressure across this depth may preclude organism migration.
material entity;oceanic hadal pelagic zone biome;The oceanic hadal pelagic zone biome comprises the water column in oceanic trenches occurring at depths between 6000m and 10,000m.
material entity;tidal mangrove shrubland;A shrubland biome which is densely vegetated by dwarf or short mangroves (and associates) that are generally less than 6 meters in height, is tidally influenced, is located in tropical or subtropical areas.
material entity;oceanic sea surface microlayer biome;The oceanic sea surface microlayer (SML) biome comprises the top 1000 micrometers of the marine surface waters occurring offshore, away from a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.
process;aerosolised particle formation process;A process during which particles suspended in a gaseous medium are formed.
material entity;biota;A collection of organisms which inhabits the same region, ecosystem, or time period.
material entity;oceanic epipelagic zone biome;The oceanic epipelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The oceanic epipelagic zone biome encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.
process;atmospheric secondary aerosol formation process;A process during which gas-phase molecules form solid or liquid particles that are stable enough to continue growing in size - via the condensation or aggregation of other gas-phase molecules - at a greater rate than their constituents re-enter gas phase.
material entity;water column;A liquid astronomical body part which 1) vertically spans a water body and 2) has fiat boundaries approximating a columnar shape.
quality;temperature of environmental material;The temperature of some environmental material.
material entity;oceanic mesopelagic zone biome;The oceanic mesopelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends through the water column from approximately 200-1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much. however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.
process;secondary aerosol formation process;An aerosol formation process during which solid or liquid particles are either 1) formed in a volume of gas through gas-to-liquid or gas-to-solid conversions or 2) increase in size through aggregation with other particles.
object;plastic pellet;A piece of plastic which is 1) hard, 2) has a smooth external surface, and 3) has a roughly spherical or granular shape.
quality;temperature of air;The temperature of some air.
material entity;oceanic bathypelagic zone biome;The bathypelagic zone biome comprises the marine water column below approximately 1000 m water depth - the maximum depth to which detectable daylight penetrates in all but the clearest oligotrophic waters - and extends to about 2500 - 2700 m water depth. In the temperate Atlantic, the beginning of the bathypelagic zone biome approximates to the deep oxygen minimum and the base of the permanent thermocline.
process;primary aerosol formation process;A material transport process during which solid or liquid particles are directly introduced into a volume of gas.
specifically dependent continuant;environmental system process quality;The quality of a environmental system process.
specifically dependent continuant;atmospheric wind intensity;The intensity of a atmospheric wind.
quality;porosity of soil;The porosity of some soil.
quality;mass density of soil;The mass density of some soil.
quality;concentration of ammonium in soil;The concentration of a ammonium when measured in soil.
quality;concentration of nitrate in soil;The concentration of a nitrate when measured in soil.
material entity;midden;A dump for domestic waste. A term used to describe any kind of feature containing waste products relating to day-to-day human life.
quality;composition of soil;The composition of some soil.
quality;structure of soil;The structure of some soil.
material entity;neritic sea surface microlayer biome;The neritic sea surface microlayer (SML) biome comprises the top 1000 micrometers of marine surface waters occurring above a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.
process;secondary atmospheric aerosol formation event;A secondary aerosol formation process which occurs in an atmosphere at an increased rate relative to background processes of the same kind.
material entity;thermoset polymer;A polymer which has been irreversibly hardened by heat-induced curing.
material entity;neritic epipelagic zone biome;The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.
process;aerosolised particle formation event;An aerosol formation process during which the rate of particle formation exceeds that which is normally present in the site of its occurrence.
disposition;thermosetting disposition;A disposition which inheres in materials capable of becoming rigid when cured by heating.
material entity;neritic mesopelagic zone biome;The neritic mesopelagic zone biome comprises the marine column that occurs above a continental shelf and extends from approximately 200 to 1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much. however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.
specifically dependent continuant;sea ice variability;A variability quality which inheres in sea ice, particularly in its concentration, area and extent, type, motion, deformation, age, thickness, and volume.
material entity;thermoplastic material;An environmental material which is capable of, repeatedly, becoming plastic when heated and hardening again when cooled.
quality;sea state;A physical quality which inheres in a marine water body by virtue of the height, wavelength, period, and directional energy flux of its waves which evolve into swell through nonlinear dynamics.
disposition;thermoplasticity;A disposition inhering in a bearer by virtue of that bearer's ability to, repeatedly, become plastic on heating and harden again on cooling.
object;plastic line;A piece of plastic which is linear and flexible.
object;plastic fragment;A piece of plastic which 1) is hard, 2) has an irregular shape, and 3) has broken off of a larger piece of plastic.
material entity;alpine tundra ecosystem;A tundra ecosystem which exists at high altitudes and where vegetation is stunted due to low temperatures and high winds.
object;plastic film;A piece of plastic which is flexible, thin, and planar.
material entity;oceanic benthopelagic zone biome;The benthopelagic zone biome comprises regions of the marine water column which usually coincide with the benthic boundary layer (BBL) - the layer of isothermal and isohaline water contiguous to the sea floor. A general reversal in the declining gradient of pelagic biomass may be observed here, perhaps explained by viable nutrition on the sea floor being resuspended by bottom currents. This zone typically extends 100 m above the seafloor, but may reach upto1000 m during benthic storms.
material entity;tundra ecosystem;An ecosystem which 1) typically has monthly average temperatures below 10 degrees Celsius 2) has a low evapotranspiration ratio 3) is dominated by treeless terrain, covered by communities of low-growing vegetation such as dwarf shrubs, sedges and grasses, mosses, and lichens, 4) contains areas of soil underlain by permafrost with a thin active layer and 5) occurs in both polar and alpine regions (i.e., both high latitudes and high altitudes), and 5) does not have permanent snow or ice cover.
object;piece of plastic foam;A piece of plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.
material entity;marine abyssal zone biome;The marine abyssal zone biome comprises regions of the marine benthic biome between approximately 2500 m and 6000 m depth. This zone generally coincides with the continental rise and the abyssal plain.
process;atmospheric aerosolised particle formation event;An aerosol formation event which occurs in an atmosphere.
material entity;marine hadal zone biome;The marine hadal zone biome describes sea floor deeper than 6000 m such as that of the oceanic trenches.
disposition;hydroclimate;A climate which is realised through hydrological processes.
material entity;marine reef biome;A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water.
material entity;marine pelagic biome;The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths.
fiat object;crater zone;The site which is located in a crater.
process;biofouling;A fouling process during which biological matter accumulates on a solid surface.
quality;acidity of soil;The acidity of some soil.
material entity;marine benthic biome;The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed.
object;volcanic crater glacier;A glacier which is contained in the site bounded by a volcanic crater.
