class;term;comment
material entity;ICEKpnMNCRE53-2;
material entity;Klebsiella pneumoniae subsp. pneumoniae KUH-KPNHVL1;
material entity;ICEKpnMNCRE53-1;
material entity;Klebsiella pneumoniae 158590;
material entity;ICEKpnMNCRE78-2;
material entity;Klebsiella pneumoniae 156070;
material entity;ICEKpnMNCRE78-1;
material entity;ICEKpnKPNIH48-1 IEM;the integration and excision module of ICE ICEKpnKPNIH48-1
material entity;Klebsiella pneumoniae K2606;
material entity;ICEKpnMNCRE69-2;
material entity;ICEKpnKPNIH48-1 CM;the conjugation module of ICE ICEKpnKPNIH48-1
material entity;Klebsiella pneumoniae 2019036D;
material entity;ICEKpnMNCRE69-1;
material entity;ICEKpnKPNIH48-1 RM;the regulation module of ICE ICEKpnKPNIH48-1
material entity;Klebsiella pneumoniae Kp36;
material entity;ICEKpnKp Goe 62629-1;
material entity;ICEKpnKPNIH48-1 AM;the accessory module of ICE ICEKpnKPNIH48-1
material entity;Trb-1 AM;the accessory module of ICE Trb-1.
material entity;Trb-1 RM;the regulation module of ICE Trb-1.
material entity;Trb-1 CM;the conjugation module of ICE Trb-1.
material entity;Trb-1 IEM;the integration and excision module of ICE Trb-1.
material entity;ICEKpnSGH10-1 CM;the conjugation module of ICE ICEKpnSGH10-1
material entity;ICEKpnSGH10-1 IEM;the integration and excision module of ICE ICEKpnSGH10-1
material entity;Klebsiella pneumoniae KP19-2029;
material entity;Klebsiella pneumoniae TK421;
material entity;ICEKpnCAV1417-1;
material entity;Klebsiella pneumoniae SMU18037509;
material entity;ICEKpnKp Goe 154414-2;
material entity;Klebsiella pneumoniae KP65;
material entity;ICEKpnKp Goe 154414-1;
material entity;Klebsiella pneumoniae FDAARGOS 629;
material entity;ICEKpn459-1;
material entity;Klebsiella pneumoniae D1;
material entity;ICEKpnKp Goe 822579-1;
material entity;Klebsiella pneumoniae KLP268;
material entity;ICEKpnP1428-1;
material entity;Klebsiella pneumoniae QD23;
material entity;ICEKpnCAV1016-1;
material entity;Klebsiella pneumoniae NKU Kleb8A7;
material entity;ICEKpnKP36-1;
material entity;Klebsiella pneumoniae KP58;
material entity;ICEKpn11-1;
material entity;ICEKpnSGH10-1 AM;the accessory module of ICE ICEKpnSGH10-1
material entity;ICEKpnED23-1;
material entity;ICEKpnSGH10-1 RM;the regulation module of ICE ICEKpnSGH10-1
material entity;ICEVchMoz2 RM;the regulation module of ICE ICEVchMoz2.
material entity;ICEVchMoz2 CM;the conjugation module of ICE ICEVchMoz2.
material entity;ICEVchMoz2 IEM;the integration and excision module of ICE ICEVchMoz2.
material entity;ICEVchMoz2 AM;the accessory module of ICE ICEVchMoz2.
material entity;pSG1 IEM;the integration and excision module of ICE pSG1.
material entity;pSG1 CM;the conjugation module of ICE pSG1.
material entity;Klebsiella pneumoniae Kp202;
material entity;Klebsiella pneumoniae FDAARGOS 775;
material entity;ICEKpnED2-1;
material entity;pSG1 RM;the regulation module of ICE pSG1.
material entity;Klebsiella pneumoniae KpvST147B SE1 1 NDM;
material entity;ICEKpnBR-1;
material entity;pSG1 AM;the accessory module of ICE pSG1.
material entity;Klebsiella pneumoniae CR-HvKP5;
material entity;ICEKpnNZ CP015822-1;
material entity;Klebsiella pneumoniae CR-HvKP4;
material entity;ICEKpnSKGH01-1;
material entity;Klebsiella pneumoniae CR-HvKP1;
material entity;ICEKpnCR14-2;
material entity;Klebsiella pneumoniae LSH-KPN25;
material entity;ICEKpnCR14-1;
material entity;Klebsiella pneumoniae LSH-KPN148;
material entity;ICEKpnNY9-1;
material entity;Klebsiella pneumoniae R1761;
material entity;ICEKpnAATZP-1;
material entity;Klebsiella pneumoniae R1701;
material entity;ICEKpnKPNIH36-1;
material entity;ICEKpnKP38731-2;
material entity;ICEKpnMNCRE53-1 AM;the accessory module of ICE ICEKpnMNCRE53-1
material entity;ICEKpnMNCRE53-1 CM;the conjugation module of ICE ICEKpnMNCRE53-1
material entity;ICEKpnMNCRE53-1 RM;the regulation module of ICE ICEKpnMNCRE53-1
material entity;ICEKpnMNCRE53-1 IEM;the integration and excision module of ICE ICEKpnMNCRE53-1
material entity;LpgGI-1 RM;the regulation module of ICE LpgGI-1.
material entity;LpgGI-1 AM;the accessory module of ICE LpgGI-1.
material entity;LpgGI-1 IEM;the integration and excision module of ICE LpgGI-1.
material entity;LpgGI-1 CM;the conjugation module of ICE LpgGI-1.
material entity;Klebsiella pneumoniae C2414;
material entity;Tn6085a AM;the accessory module of ICE Tn6085a.
material entity;Klebsiella pneumoniae C2660;
material entity;ICEKpnKP38731-1;
material entity;Tn6085a RM;the regulation module of ICE Tn6085a.
material entity;Klebsiella pneumoniae subsp. pneumoniae KP-8788;
material entity;ICEKpnRJF999-2;
material entity;Klebsiella pneumoniae CRKP I;
material entity;ICEKpnRJF999-1;
material entity;Klebsiella pneumoniae ST23;
material entity;ICEKpnRJF293-1;
material entity;Klebsiella pneumoniae KPNIH45;
material entity;ICEKpnTGH8-1;
material entity;Klebsiella pneumoniae ABFPV;
material entity;ICEKpnU25-1;
material entity;Tn6085a CM;the conjugation module of ICE Tn6085a.
material entity;Klebsiella pneumoniae WCHKP020037;
material entity;ICEKpnUHKPC33-1;
material entity;Tn6085a IEM;the integration and excision module of ICE Tn6085a.
material entity;Klebsiella pneumoniae WCHKP115068;
material entity;ICEKpnUHKPC07-1;
material entity;Klebsiella pneumoniae WCHKP2080;
material entity;ICEKpn500 1420-1;
material entity;ICEKpnDMC1097-1;
material entity;ICEKpnBA28434-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnBA28434-1
material entity;ICEKpnBA28434-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnBA28434-1
material entity;ICEKpnKP-8788-1 CM;the conjugation module of ICE ICEKpnKP-8788-1
material entity;ICEKpnKP-8788-1 RM;the regulation module of ICE ICEKpnKP-8788-1
material entity;ICEKpnKP-8788-1 IEM;the integration and excision module of ICE ICEKpnKP-8788-1
material entity;ICEKpnWCHKP13F2-2 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnWCHKP13F2-2 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnKP-8788-1 AM;the accessory module of ICE ICEKpnKP-8788-1
material entity;ICEKpn12208-1 CM;the conjugation module of ICE ICEKpn12208-1
material entity;ICEKpn12208-1 IEM;the integration and excision module of ICE ICEKpn12208-1
material entity;Klebsiella pneumoniae BP327;
material entity;Klebsiella pneumoniae BA28434;
material entity;ICEKpnCAV1596-1;
material entity;Klebsiella pneumoniae VBA2172;
material entity;ICEKpnCAV1392-2;
material entity;Klebsiella pneumoniae WCHKP020098;
material entity;ICEKpn34618-1;
material entity;Klebsiella pneumoniae subsp. pneumoniae WCHKP015093;
material entity;ICEKpn32192-2;
material entity;ICEKpn12208-1 AM;the accessory module of ICE ICEKpn12208-1
material entity;Klebsiella pneumoniae BA1559;
material entity;ICEKpnKPNIH30-1;
material entity;ICEKpn12208-1 RM;the regulation module of ICE ICEKpn12208-1
material entity;Klebsiella pneumoniae subsp. pneumoniae CCRI-22199;
material entity;ICEKpnKPNIH32-2;
material entity;Klebsiella pneumoniae AP8555;
material entity;ICEKpnKPNIH32-1;
material entity;Klebsiella pneumoniae BA33875;
material entity;ICEKpnKPNIH33-2;
material entity;Klebsiella pneumoniae 18CPO060;
material entity;ICEKpnKPNIH33-1;
material entity;ICEKpnNZ CP009114-1;
material entity;ICEKpnKp8701-1 IEM;the integration and excision module of ICE ICEKpnKp8701-1
material entity;Tn1545 AM;the accessory module of ICE Tn1545.
material entity;ICEKpnKp8701-1 RM;the regulation module of ICE ICEKpnKp8701-1
material entity;ICEKpnKp8701-1 CM;the conjugation module of ICE ICEKpnKp8701-1
material entity;Tn1545 CM;the conjugation module of ICE Tn1545.
material entity;Tn1545 RM;the regulation module of ICE Tn1545.
material entity;ICEKpnKp8701-1 AM;the accessory module of ICE ICEKpnKp8701-1
material entity;Tn5281 AM;the accessory module of ICE Tn5281.
material entity;Tn5281 RM;the regulation module of ICE Tn5281.
material entity;Tn5281 CM;the conjugation module of ICE Tn5281.
material entity;Tn5281 IEM;the integration and excision module of ICE Tn5281.
material entity;Tn1545 IEM;the integration and excision module of ICE Tn1545.
material entity;ICEKpnKPC160125-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnKPC160125-1
material entity;ICEKpnKPC160125-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnKPC160125-1
material entity;Tn4371 IEM;the integration and excision module of ICE Tn4371.
material entity;Tn4371 CM;the conjugation module of ICE Tn4371.
material entity;ICEKpn4928STDY7387808-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpn4928STDY7387808-1
material entity;Tn4371 RM;the regulation module of ICE Tn4371.
material entity;ICEKpn4928STDY7387808-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpn4928STDY7387808-1
material entity;Tn4371 AM;the accessory module of ICE Tn4371.
material entity;ICEKpnKp36-1 AM;the accessory module of ICE ICEKpnKp36-1
material entity;ICEKpnKp36-1 RM;the regulation module of ICE ICEKpnKp36-1
material entity;ICEKpnKp36-1 CM;the conjugation module of ICE ICEKpnKp36-1
material entity;ICEKpnKp36-1 IEM;the integration and excision module of ICE ICEKpnKp36-1
material entity;ICEKpnINF249-2 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnINF249-2
material entity;ICEKpnHS102438-1 AM;the accessory module of ICE ICEKpnHS102438-1
material entity;ICEKpnINF249-2 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnINF249-2
material entity;ICEKpnHS102438-1 RM;the regulation module of ICE ICEKpnHS102438-1
material entity;ICEKpnHS102438-1 CM;the conjugation module of ICE ICEKpnHS102438-1
material entity;ICEKpnHS102438-1 IEM;the integration and excision module of ICE ICEKpnHS102438-1
material entity;ICEKpnKPNIH33-2 CM;the conjugation module of ICE ICEKpnKPNIH33-2
material entity;ICEKpnKPNIH33-2 RM;the regulation module of ICE ICEKpnKPNIH33-2
material entity;ICEKpnFDAARGOS 775-1 IEM;the integration and excision module of ICE ICEKpnFDAARGOS 775-1
material entity;ICEKpnKPNIH33-2 AM;the accessory module of ICE ICEKpnKPNIH33-2
material entity;ICEKpnNH54-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnNH54-1
material entity;ICEKpnAR 0079-2 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnAR 0079-2
material entity;ICEKpnAR 0079-2 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnAR 0079-2
material entity;ICEKpnNH54-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnNH54-1
material entity;ICEKpnFDAARGOS 775-1 AM;the accessory module of ICE ICEKpnFDAARGOS 775-1
material entity;ICEKpnFDAARGOS 775-1 CM;the conjugation module of ICE ICEKpnFDAARGOS 775-1
material entity;ICEKpnKPNIH33-2 IEM;the integration and excision module of ICE ICEKpnKPNIH33-2
material entity;ICEKpnFDAARGOS 775-1 RM;the regulation module of ICE ICEKpnFDAARGOS 775-1
material entity;ICEKpnK2606-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnK2606-1
material entity;ICEKpnK2606-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnK2606-1
material entity;ICEKpnBR7-1 CM;the conjugation module of ICE ICEKpnBR7-1
material entity;ICEKpnBR7-1 RM;the regulation module of ICE ICEKpnBR7-1
material entity;ICEKpnAR 0079-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnAR 0079-1
material entity;ICEKpnBR7-1 IEM;the integration and excision module of ICE ICEKpnBR7-1
material entity;ICEKpnAR 0079-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnAR 0079-1
material entity;ICESau7412791 AM;the accessory module of ICE ICESau7412791.
material entity;ICEKpnBR7-1 AM;the accessory module of ICE ICEKpnBR7-1
material entity;Tn6000 (EfcTn1) AM;the accessory module of ICE Tn6000 (EfcTn1).
material entity;Tn6000 (EfcTn1) RM;the regulation module of ICE Tn6000 (EfcTn1).
material entity;Tn6000 (EfcTn1) CM;the conjugation module of ICE Tn6000 (EfcTn1).
material entity;Tn6000 (EfcTn1) IEM;the integration and excision module of ICE Tn6000 (EfcTn1).
material entity;ICEKpnC2414-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnC2414-1
material entity;ICEKpnC2414-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnC2414-1
material entity;ICESau7412791 IEM;the integration and excision module of ICE ICESau7412791.
material entity;ICESau7412791 RM;the regulation module of ICE ICESau7412791.
material entity;ICESau7412791 CM;the conjugation module of ICE ICESau7412791.
material entity;ICEKpnBR-1 IEM;the integration and excision module of ICE ICEKpnBR-1
material entity;ICEVscSpa3 CM;the conjugation module of ICE ICEVscSpa3.
material entity;ICEKpnBR-1 RM;the regulation module of ICE ICEKpnBR-1
material entity;ICEVscSpa3 RM;the regulation module of ICE ICEVscSpa3.
material entity;ICEKpnBR-1 CM;the conjugation module of ICE ICEKpnBR-1
material entity;ICEVscSpa3 AM;the accessory module of ICE ICEVscSpa3.
material entity;ICEKpnBR-1 AM;the accessory module of ICE ICEKpnBR-1
material entity;ICEKpnKP69-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnKP69-1
material entity;ICEKpnKP69-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnKP69-1
material entity;ICEVscSpa3 IEM;the integration and excision module of ICE ICEVscSpa3.
material entity;ICEKpn18CPO060-1 AM;the accessory module of ICE ICEKpn18CPO060-1
material entity;ICEKpnKPNIH32-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnKPNIH32-1
material entity;ICEKpnKPNIH32-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnKPNIH32-1
material entity;ICEKpn18CPO060-1 IEM;the integration and excision module of ICE ICEKpn18CPO060-1
material entity;ICEKpn18CPO060-1 RM;the regulation module of ICE ICEKpn18CPO060-1
material entity;ICEKpn18CPO060-1 CM;the conjugation module of ICE ICEKpn18CPO060-1
material entity;ICEKpnKp202-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnKp202-1
material entity;ICEKpnCCUG70747-1 CM;the conjugation module of ICE ICEKpnCCUG70747-1
material entity;ICEKpnCCUG70747-1 IEM;the integration and excision module of ICE ICEKpnCCUG70747-1
material entity;ICEKpnKp202-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnKp202-1
material entity;ICEKpnCCUG70747-1 AM;the accessory module of ICE ICEKpnCCUG70747-1
material entity;ICEKpnCCUG70747-1 RM;the regulation module of ICE ICEKpnCCUG70747-1
material entity;ICEKpnCRK0298-1 IEM;the integration and excision module of ICE ICEKpnCRK0298-1
material entity;ICEA(5632)-III AM;the accessory module of ICE ICEA(5632)-III.
material entity;ICEA(5632)-III CM;the conjugation module of ICE ICEA(5632)-III.
material entity;ICEKpnKp36-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnKp36-1
material entity;ICEA(5632)-III RM;the regulation module of ICE ICEA(5632)-III.
material entity;ICEKpnKp36-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnKp36-1
material entity;ICEKpnCRK0298-1 CM;the conjugation module of ICE ICEKpnCRK0298-1
material entity;ICEA(5632)-III IEM;the integration and excision module of ICE ICEA(5632)-III.
material entity;ICEKpnCRK0298-1 RM;the regulation module of ICE ICEKpnCRK0298-1
material entity;ICEKpnCRK0298-1 AM;the accessory module of ICE ICEKpnCRK0298-1
material entity;ICEKpnF132-1 IEM;the integration and excision module of ICE ICEKpnF132-1
material entity;ICEKpnF132-1 CM;the conjugation module of ICE ICEKpnF132-1
material entity;ICEKpnF132-1 RM;the regulation module of ICE ICEKpnF132-1
material entity;ICEKpnF132-1 AM;the accessory module of ICE ICEKpnF132-1
material entity;ICEKpn1158-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpn1158-1
material entity;ICEKpn1158-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpn1158-1
material entity;ICEKpnTGH8-1 IEM;the integration and excision module of ICE ICEKpnTGH8-1
material entity;ICEKpnTGH8-1 CM;the conjugation module of ICE ICEKpnTGH8-1
material entity;ICEKpnTGH8-1 RM;the regulation module of ICE ICEKpnTGH8-1
material entity;ICEVchBan4 AM;the accessory module of ICE ICEVchBan4.
material entity;ICEKpnTGH8-1 AM;the accessory module of ICE ICEKpnTGH8-1
material entity;ICEKpnF44-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnF44-1
material entity;ICEKpnF44-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnF44-1
material entity;ICEVchBan4 IEM;the integration and excision module of ICE ICEVchBan4.
material entity;ICEVchBan4 CM;the conjugation module of ICE ICEVchBan4.
material entity;ICEVchBan4 RM;the regulation module of ICE ICEVchBan4.
material entity;ICEPmiChn1 AM;the accessory module of ICE ICEPmiChn1.
material entity;ICEPmiChn1 CM;the conjugation module of ICE ICEPmiChn1.
material entity;attR;The integration reaction is catalyzed by the integrase and, as a result of the site-specific recombination, will lead to direct repeats (typically between 10 and 60 bp) forming on either end of the integrated element, that are nownamed attL (left end) and attR (right end).
material entity;ICEPmiChn1 RM;the regulation module of ICE ICEPmiChn1.
material entity;attB;attB is the attachment site in the host chromosome during the recombination.
material entity;ICE SsaF1-4 fda;
material entity;ICEPmiChn1 IEM;the integration and excision module of ICE ICEPmiChn1.
material entity;ICE SsaF4-2 fda;
material entity;ICESluvan;
material entity;ICESp1116;
material entity;ICEMlSym(NZP2037)-beta;
material entity;ICEMlSym(NZP2037)-gamma;
site;insertion site;After transfer, the circular ICE integrates into a replicon, mainly at the 3' end of a tRNA or protein-encoding gene, which is called insertion site
material entity;ICEMlSym(NZP2037)-alpha;
material entity;ICEKpnQS17-0161-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnQS17-0161-1
material entity;ICEKpnINF249-2 AM;the accessory module of ICE ICEKpnINF249-2
material entity;attI;
material entity;ICEKpnINF249-2 CM;the conjugation module of ICE ICEKpnINF249-2
material entity;ICEKpnINF249-2 RM;the regulation module of ICE ICEKpnINF249-2
material entity;ICEKpnINF249-2 IEM;the integration and excision module of ICE ICEKpnINF249-2
material entity;ICEKpnQS17-0161-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnQS17-0161-1
material entity;recombination attachment site;A short DNA sequence that recombinases recognize, bind to and then cleave the DNA backbone, exchange the two DNA helices involved and rejoin the DNA strands.
material entity;attL;The integration reaction is catalyzed by the integrase and, as a result of the site-specific recombination, will lead to direct repeats (typically between 10 and 60 bp) forming on either end of the integrated element, that are now named attL (left end) and attR (right end).
object;DDE transposase;A transposase enzyme with the DDE motif.
material entity;origin of transfer sequence;The oriT region, which is usually tens to hundreds of base pairs in length, contains a conserved nick region (flanking the nic site) and variable numbers of inverted repeats (IRs)
object;tyrosine recombinase;One family of recombinases based on amino acid sequence homology and mechanistic relatedness. Tyrosine is the conserved nucleophilic amino acid residue that tyrosine recombinases use to attack the DNA and which becomes covalently linked to it during strand exchange.
object;serine recombinase;One family of recombinases based on amino acid sequence homology and mechanistic relatedness. Serine is the conserved nucleophilic amino acid residue that serine recombinases use to attack the DNA and which becomes covalently linked to it during strand exchange.
material entity;type IV secretion system in Gram positive bacteria;T4SS in Gram positive bacteria
material entity;ICE integration and excision module;The integration and excision module refers to those genes and sequence within the ICE responsible for the integration and excision of the element from the host chromosome, including genes encoding the integrase and or recombination directionality factor (also known as excisionase, which influences the direction of recombination mediated by the integrase to favor excision).
material entity;ICEVspSpa3 AM;the accessory module of ICE ICEVspSpa3.
material entity;ICEVspSpa3 IEM;the integration and excision module of ICE ICEVspSpa3.
material entity;ICEVspSpa3 CM;the conjugation module of ICE ICEVspSpa3.
material entity;ICEVspSpa3 RM;the regulation module of ICE ICEVspSpa3.
material entity;ICEKpnED2-1 CM;the conjugation module of ICE ICEKpnED2-1
material entity;ICEKpnED2-1 IEM;the integration and excision module of ICE ICEKpnED2-1
material entity;ICEKpnED2-1 AM;the accessory module of ICE ICEKpnED2-1
material entity;ICEKpnED2-1 RM;the regulation module of ICE ICEKpnED2-1
material entity;ICEF-II IEM;the integration and excision module of ICE ICEF-II.
material entity;ICEF-II RM;the regulation module of ICE ICEF-II.
material entity;ICEKpnSCKP020046-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnSCKP020046-1
material entity;ICEF-II CM;the conjugation module of ICE ICEF-II.
material entity;ICEKpnSCKP020046-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnSCKP020046-1
material entity;ICEKpn911021-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpn911021-1
material entity;ICEF-II AM;the accessory module of ICE ICEF-II.
