class;term;comment
material entity;supervisor of transportation or material moving worker;
material entity;dentist;
material entity;budget analyst (broad);
material entity;power distributor or dispatcher;Coordinate, regulate, or distribute electricity or steam.
material entity;registered nurse;
material entity;emergency medical technician or paramedics;
material entity;fiberglass laminator or fabricator (broad);
material entity;computer numerically controlled tool operator;Operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials. May also set up and maintain equipment.
material entity;first-line supervisor of entertainment or recreation worker, except gambling service;Directly supervise and coordinate activities of entertainment and recreation related workers.
material entity;social scientist or related worker;
material entity;textile machine setter, operator, or tender;
material entity;area, ethnic, or cultural studies teacher, postsecondary;Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;medical assistant;Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.
material entity;transportation security screener;Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.
material entity;mathematical science occupation;
material entity;paper goods machine setter, operator, or tender;Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.
material entity;computer, automated teller, or office machine repairer;Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines.
material entity;biological technician (broad);
material entity;transportation service attendant;
material entity;supply chain manager;Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.
material entity;artillery or missile officer;Manage personnel and weapons operations to destroy enemy positions, aircraft, and vessels. Duties include planning, targeting, and coordinating the tactical deployment of field artillery and air defense artillery missile systems units. directing the establishment and operation of fire control communications systems. targeting and launching intercontinental ballistic missiles. directing the storage and handling of nuclear munitions and components. overseeing security of weapons storage and launch facilities. and managing maintenance of weapons systems.
material entity;first-line supervisor of farming, fishing, or forestry worker;Directly supervise and coordinate the activities of agricultural, forestry, aquacultural, and related workers.
material entity;sailor or marine oiler (broad);
material entity;personal financial advisor;Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.
material entity;transportation, storage, or distribution manager;Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.
material entity;bus or truck mechanic or diesel engine specialist;Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines.
material entity;refuse or recyclable material collector;Collect and dump refuse or recyclable materials from containers into truck. May drive truck.
material entity;information or record clerk, all other;All information and record clerks not listed separately.
material entity;excavating or loading machine or dragline operator, surface mining;Operate or tend machinery at surface mining site, equipped with scoops, shovels, or buckets to excavate and load loose materials.
material entity;environmental engineer (broad);
material entity;police identification or records officer;Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.
material entity;detective or criminal investigator;Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.
material entity;web or digital interface designer;Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.
material entity;video game designer;Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.
material entity;first-line supervisor of office or administrative support worker (broad);
material entity;conservation scientist or forester;
material entity;miscellaneous physical scientist;
material entity;chiropractor;Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment.
material entity;courier or messenger (broad);
material entity;grinding, lapping, polishing, or buffing machine tool setter, operator, or tender, metal or plastic;Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.
material entity;survey researcher;Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.
material entity;automotive glass installer or repairer;Replace or repair broken windshields and window glass in motor vehicles.
material entity;legislator;Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.
material entity;media or communication equipment worker;
material entity;desktop publisher (broad);
material entity;life sciences teacher, postsecondary;
material entity;wind turbine service technician;Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.
material entity;agent or business manager of artist, performer, or athlete;
material entity;surveying or mapping technician (broad);
material entity;miscellaneous legal support worker;
material entity;food service manager;Plan, direct, or coordinate activities of an organization or department that serves food and beverages.
material entity;naturopathic physician;Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.
material entity;cutting or slicing machine setter, operator, or tender;Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.
material entity;healthcare diagnosing or treating practitioner, all other;All healthcare diagnosing or treating practitioners not listed separately.
material entity;orthoptist;Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.
material entity;food or beverage serving worker;
material entity;sewer, hand;Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.
material entity;recreation or fitness worker;
material entity;carpet installer;Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.
material entity;extraction worker;
material entity;purchasing agent, except wholesale, retail, or farm product;Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.
material entity;grader or sorter, agricultural products (broad);
material entity;court, municipal, or license clerk;Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called. secure information for judges and court. prepare draft agendas or bylaws for town or city council. answer official correspondence. keep fiscal records and accounts. issue licenses or permits. and record data, administer tests, or collect fees.
material entity;plumber, pipefitter, or steamfitter;Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters.
material entity;meeting, convention, or event planner;Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.
material entity;air traffic controller or airfield operations specialist;
material entity;educational, guidance, or career counselor or advisor;Advise and assist students and provide educational and vocational guidance services.
material entity;military enlisted tactical operations or air/weapons specialist or crew member, all other;All military enlisted tactical operations and air/weapons specialists and crewmembers not listed separately.
material entity;history teacher, postsecondary;Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;food batchmaker;Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.
material entity;veterinarian;Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.
material entity;supervisor of building or grounds cleaning or maintenance worker;
material entity;funeral home manager;Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.
material entity;miscellaneous financial clerk;
material entity;solar thermal installer or technician;Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.
material entity;broadcast announcer or radio disc jockey;Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests.
material entity;structural metal fabricator or fitter;Fabricate, position, align, and fit parts of structural metal products.
material entity;computer or information research scientist (broad);
material entity;environmental science teacher, postsecondary;Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
disposition;speech recognition;The ability to identify and understand the speech of another person.
material entity;data entry keyer;Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing.
disposition;speed of limb movement;The ability to quickly move the arms and legs.
material entity;child, family, or school social worker;Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.
disposition;speed of closure;The ability to quickly make sense of, combine, and organize information into meaningful patterns.
material entity;geographer;Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.
disposition;static strength;The ability to exert maximum muscle force to lift, push, pull, or carry objects.
material entity;farming, fishing, or forestry occupation holder;
disposition;stamina;The ability to exert yourself physically over long periods of time without getting winded or out of breath.
material entity;forest or conservation worker (broad);
disposition;trunk strength;The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without "giving out" or fatiguing.
disposition;time sharing;The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).
material entity;artist or related worker;
disposition;visualization;The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
disposition;visual color discrimination;The ability to match or detect differences between colors, including shades of color and brightness.
disposition;wrist-finger speed;The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.
material entity;environmental engineering technologist or technician;Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.
material entity;geographic information systems technologist or technician;Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.
material entity;web administrator;Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.
material entity;computer occupation, all other;All computer occupations not listed separately.
material entity;chemical plant or system operator;Control or operate entire chemical processes or system of machines.
material entity;production, planning, or expediting clerk (broad);
material entity;information technology project manager;Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.
material entity;military enlisted tactical operations or air/weapons specialist or crew member;
material entity;financial examiner;Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.
material entity;computer systems engineer/architect;Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.
material entity;baggage porter, bellhop, or concierge (minor);
material entity;sales representative, wholesale or manufacturing, except technical or scientific product;Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.
material entity;blockchain engineer;Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.
material entity;digital forensics analyst;Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.
material entity;information security engineer;Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.
material entity;penetration tester;Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.
material entity;document management specialist;Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.
disposition;written expression;The ability to communicate information and ideas in writing so others will understand.
material entity;extruding or forming machine setter, operator, or tender, synthetic or glass fiber;Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.
disposition;written comprehension;The ability to read and understand information and ideas presented in writing.
process;illicit occupation activity;An occupation activity which is illegal or ostracized in a given jurisdiction.
process;regulated occupation activity;An occupation activity which the occupation holder must be authorized to perform in a given jurisdiction (timeframe etc).
material entity;driver/sales worker;Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.
material entity;holder of illicit occupation activity;A person who is the bearer of a disposition to perform a socially-sanctioned occupation acitivity.
material entity;cardiovascular technologist or technician;Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.
material entity;holder of regulated occupation activity;A person who is the bearer of a disposition to perform a socially-sanctioned occupation activity
generically dependent continuant;occupational credential;A credential that is designed to be about an organism's competence or qualifications with respect to an occupation.
generically dependent continuant;credential;A document issued by a third party recognized as bearing the relevant authority to do so, that is designed to be about an entity's competence, qualifications, or authority.
material entity;psychologist, all other;All psychologists not listed separately.
material entity;personal care aide;Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.
material entity;funeral service worker;
material entity;clinical neuropsychologist;Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.
material entity;multiple machine tool setter, operator, or tender, metal or plastic;Set up, operate, or tend more than one type of cutting or forming machine tool or robot.
material entity;biochemist or biophysicist;Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.
material entity;database administrator;Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.
material entity;neuropsychologist;Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.
material entity;low vision therapist, orientation or mobility specialist, or vision rehabilitation therapist;Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.
material entity;occupational therapist;Assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays. Use therapeutic techniques, adapt the individual's environment, teach skills, and modify specific tasks that present barriers to the individual.
material entity;airline pilot, copilot, or flight engineer;Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport certificate and rating for specific aircraft type used. Includes regional, national, and international airline pilots and flight instructors of airline pilots.
material entity;architecture teacher, postsecondary;Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;prosthodontist;Diagnose, treat, rehabilitate, design, and fit prostheses that maintain oral function, health, and appearance for patients with clinical conditions associated with teeth, oral and maxillofacial tissues, or the jaw.
material entity;credential granting agency;An organization that bears a credential grantor role.
material entity;occupational credential holder;An organism that an occupation credential is about.
disposition;competence;A disposition borne by an organism in virtue of training such that, if realized, is realized in the successful performance of a skilled task for which that training was pursued.
generically dependent continuant;certification;A credential awarded by a professional organization designed to signify the holder's competence as measured against a specified professional benchmark.
material entity;law teacher, postsecondary;Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;loading or moving machine operator, underground mining;Operate underground loading or moving machine to load or move coal, ore, or rock using shuttle or mine car or conveyors. Equipment may include power shovels, hoisting engines equipped with cable-drawn scraper or scoop, or machines equipped with gathering arms and conveyor.
generically dependent continuant;certificate;A credential awarded by a credential granting agency designed to signify participation in or completion of a training program requiring the demonstration of some specified knowledge or skill.
generically dependent continuant;license;A credential awarded by a government or government-authorized agency designed to signify legal authority to engage in specified actions without being liable to sanctions or penalties that would otherwise be associated with those actions.
generically dependent continuant;academic degree;A credential awarded by an educational institution designed to signify the satisfaction of requirements established by and under the monitoring of that institution.
process;credential issuing process;A social act in which a credential granting agency asserts that an organism has satisfied the requirements for being awarded a credential, having as output a credential about the organism.
material entity;fundraiser (broad);
material entity;mechanical door repairer;Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics.
role;credential grantor role;A role borne by an organization that has been accredited by a quality assurance group through a deontic declaration having action regulation output, which authorizes the organization to bestow credentials according to quality control standards established or enforced by the accrediting group.
material entity;first-line supervisor of security worker;Directly supervise and coordinate activities of security workers and security guards.
material entity;orthopedic surgeon, except pediatric;Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.
material entity;quality assurance group;An organization established to set standards of activity by other organizations, evaluate the extent to which organizations satisfy or fail to satisfy those standards, and bestow or revoke the permissions afforded to organizations based on such evaluations.
material entity;passenger attendant;Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel.
material entity;lawyer, judge, or related worker;
material entity;nuclear technician;Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.
material entity;agricultural worker;
material entity;nuclear monitoring technician;Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.
material entity;psychology teacher, postsecondary;Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
material entity;janitor or cleaner, except maids or housekeeping cleaner;Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.
material entity;dancer or choreographer;
material entity;shuttle driver or chauffeur;Drive a motor vehicle to transport passengers on a planned or scheduled basis. May collect a fare. Includes nonemergency medical transporters and hearse drivers.
material entity;insurance appraiser, auto damage;Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
material entity;payroll or timekeeping clerk (broad);
material entity;home health or personal care aide. or nursing assistant, orderly, or psychiatric aide;
material entity;sales or related worker, all other;All sales and related workers not listed separately.
material entity;veterinary assistant or laboratory animal caretaker;Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.
material entity;sheet metal worker (broad);
material entity;first-line supervisor of food preparation or serving worker;Directly supervise and coordinate activities of workers engaged in preparing and serving food.
material entity;chemical processing machine setter, operator, or tender;
material entity;interviewer, except eligibility or loan;Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.
material entity;coroner;Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.
material entity;regulatory affairs specialist;Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.
material entity;customs broker;Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.
material entity;glazier;Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops.
material entity;arbitrator, mediator, or conciliator;Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.
material entity;equal opportunity representative or officer;Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.
material entity;government property inspector or investigator;Investigate or inspect government property to ensure compliance with contract agreements and government regulations.
material entity;computer programmer;Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.
material entity;patternmaker, wood;Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.
material entity;miscellaneous electrical or electronic equipment mechanic, installer, or repairer;
material entity;dining room or cafeteria attendant or bartender helper (broad);
material entity;real estate broker or sales agent;
material entity;telephone operator;Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.
material entity;floral designer;Design, cut, and arrange live, dried, or artificial flowers and foliage.
material entity;gambling surveillance officer or gambling investigator;Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers.
material entity;electromechanical equipment assembler;Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.
material entity;search marketing strategist;Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.
material entity;anesthesiologist;Administer anesthetics and analgesics for pain management prior to, during, or after surgery.
material entity;market research analyst or marketing specialist;Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.
material entity;surveyor, cartographer, or photogrammetrist;
material entity;log grader or scaler;Grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations. Inspect logs for defects or measure logs to determine volume.
material entity;first-line supervisor of weapons specialist/crew member;Supervise and coordinate the activities of weapons specialists/crew members. Supervisors may also perform the same activities as the workers they supervise.
material entity;special education teacher, preschool;Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments. students who are deaf or have hearing impairments. and students with intellectual disabilities.
material entity;credit counselor or loan officer;
material entity;outdoor power equipment or other small engine mechanic;Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment, and related equipment.
material entity;animal caretaker;Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.
material entity;library technician (broad);
material entity;miscellaneous media or communication worker;
material entity;aircraft structure, surfaces, rigging, or systems assembler (broad);
material entity;cabinetmaker or bench carpenter (broad);
material entity;remote sensing technician;Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.
material entity;life, physical, or social science technician, all other;All life, physical, and social science technicians not listed separately.
material entity;quality control analyst;Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.
